order_id,customer_id,order_date,product,category,region,quantity,unit_price,discount,sales,profit,payment_method,shipping_days,customer_segment,sales_rep,total_sales
ORD-000000,CUST-02620,2024-05-23,Tablet,Accessories,East,7,1829,0.2,2602,763.0,UPI,8,Regular,Priya,10242.400000000001
ORD-000001,CUST-00457,2022-11-17,Tablet,Wearables,East,4,1470,0.1,11780,568.0,Credit Card,14,Premium,Priya,5292.0
ORD-000002,CUST-00103,2024-09-03,Watch,Electronics,West,8,1649,0.0,356,314.0,Net Banking,14,Premium,Priya,13192.0
ORD-000003,CUST-01127,2023-01-25,Mouse,Accessories,West,5,1427,0.0,409,-85.0,PayPal,4,Premium,Sarah,7135.0
ORD-000004,CUST-01004,2023-08-14,Laptop,Wearables,North,7,714,0.0,5326,-519.0,Net Banking,14,VIP,John,4998.0
ORD-000005,CUST-00915,2024-01-25,Headphones,Accessories,West,3,344,0.0,7034,402.0,UPI,2,Regular,Priya,
ORD-000006,CUST-00572,2022-01-02,Watch,Wearables,East,7,856,0.0,2376,595.0,Net Banking,3,VIP,Priya,5992.0
ORD-000007,CUST-00420,2022-11-15,Keyboard,Electronics,North,8,923,0.0,14493,901.0,Net Banking,3,VIP,Priya,7384.0
ORD-000008,CUST-02772,2022-03-05,Watch,Wearables,South,5,879,0.1,4992,83.0,PayPal,9,VIP,Sarah,3955.5
ORD-000009,CUST-02234,2023-08-28,Laptop,Electronics,North,4,1859,0.0,3828,340.0,Credit Card,13,VIP,Priya,7436.0
ORD-000010,CUST-00357,2023-07-03,Mouse,Accessories,North,8,831,0.0,12788,480.0,Net Banking,12,Premium,John,6648.0
ORD-000011,CUST-02419,2022-07-14,Watch,Wearables,North,8,1946,0.1,9990,275.0,Credit Card,15,Premium,John,14011.2
ORD-000012,CUST-01729,2024-05-17,Mouse,Accessories,Central,3,1535,0.1,3648,245.0,UPI,1,Regular,John,4144.5
ORD-000013,CUST-00131,2023-02-02,Watch,Wearables,East,6,977,0.2,10912,628.0,Net Banking,7,Regular,Aman,4689.6
ORD-000014,CUST-00123,2023-03-10,Headphones,Electronics,South,5,1340,0.05,17096,289.0,Credit Card,1,Regular,Priya,6365.0
ORD-000015,CUST-00384,2022-11-24,Speaker,Electronics,West,2,615,0.0,10197,79.0,Credit Card,6,Premium,Priya,1230.0
ORD-000016,CUST-00896,2024-02-29,Tablet,Accessories,,8,573,0.0,4350,536.0,Net Banking,10,Premium,John,4584.0
ORD-000017,CUST-00953,,Mouse,Accessories,South,6,135,0.0,1438,275.0,UPI,4,Regular,Sarah,810.0
ORD-000018,CUST-02070,2024-03-27,Mouse,Wearables,West,2,1301,0.0,5296,82.0,Credit Card,7,Premium,Sarah,2602.0
ORD-000019,CUST-02466,2023-11-27,Headphones,Accessories,East,5,1510,0.0,5912,743.0,Net Banking,7,Regular,John,7550.0
ORD-000020,CUST-00109,2024-08-14,Headphones,Accessories,East,1,1892,0.2,8316,228.0,UPI,7,VIP,John,1513.6000000000001
ORD-000021,CUST-02299,2024-03-26,Watch,Electronics,North,6,1140,0.0,1077,389.0,Credit Card,14,Regular,Priya,6840.0
ORD-000022,CUST-00815,2022-05-10,Phone,Wearables,Central,9,1834,0.0,1637,-99.0,Credit Card,6,VIP,Priya,16506.0
ORD-000023,CUST-02933,2023-06-17,Mouse,Accessories,North,1,929,0.0,15488,595.0,Credit Card,7,Premium,Priya,
ORD-000024,CUST-02662,2023-11-11,Headphones,Electronics,South,3,1171,0.1,11034,378.0,PayPal,8,VIP,John,3161.7000000000003
ORD-000025,CUST-02873,2023-09-09,Keyboard,Electronics,East,7,1185,0.0,7899,708.0,UPI,3,Premium,,8295.0
ORD-000026,CUST-02233,2023-08-28,Laptop,Wearables,,4,1192,0.0,577,891.0,Net Banking,5,Premium,Sarah,4768.0
ORD-000027,CUST-01719,2022-08-16,Phone,Accessories,Central,9,1782,0.0,11262,916.0,PayPal,14,Premium,Sarah,16038.0
ORD-000028,CUST-00903,2022-04-20,Mouse,Electronics,East,3,1994,0.0,3988,398.0,UPI,10,Premium,John,5982.0
ORD-000029,CUST-01840,2023-02-09,Watch,Accessories,North,5,465,0.0,2480,529.0,Net Banking,11,Regular,Priya,2325.0
ORD-000030,CUST-02414,2022-01-10,Headphones,Wearables,Central,3,1285,0.05,6928,82.0,PayPal,9,Regular,Priya,3662.25
ORD-000031,CUST-01140,2023-07-06,Tablet,Electronics,East,7,1862,0.0,6420,335.0,Net Banking,8,Premium,Sarah,13034.0
ORD-000032,CUST-00027,2024-05-22,Tablet,Electronics,Central,5,1044,0.1,6660,-55.0,PayPal,6,VIP,Sarah,4698.0
ORD-000033,CUST-00654,2023-04-17,Phone,Accessories,South,9,1075,0.05,16900,775.0,Net Banking,13,Premium,Aman,9191.25
ORD-000034,CUST-02860,2022-11-20,Watch,Accessories,East,7,1611,0.1,14766,143.0,Net Banking,9,Regular,Sarah,10149.300000000001
