property_id,sale_date,city,area_sqft,bedrooms,bathrooms,age_years,price,price_per_sqft,furnishing,property_type,seller_type,near_metro,parking
PROP-000000,2019-03-02,Pune,2652,4,1.0,20,4844688.0,4389,Furnished,Apartment,Agent,1.0,1
PROP-000001,2021-02-17,Bangalore,3729,1,4.0,29,9462725.0,8461,Semi-Furnished,Villa,Builder,0.0,1
PROP-000002,2021-03-27,Delhi,1197,4,4.0,9,4778317.0,10645,Furnished,Apartment,Agent,0.0,2
PROP-000003,2021-07-20,Pune,2643,1,2.0,41,11513525.0,11252,Unfurnished,Office,Builder,1.0,1
PROP-000004,2020-12-01,Bangalore,2299,4,2.0,24,17546832.0,17005,Unfurnished,Villa,Owner,1.0,2
,2022-02-04,Kolkata,572,2,4.0,34,19576176.0,10272,Furnished,Office,Builder,0.0,1
PROP-000006,2018-08-18,Pune,658,2,2.0,29,19254311.0,19387,Furnished,Plot,Agent,0.0,2
PROP-000007,2022-08-27,Mumbai,593,4,3.0,2,4679183.0,11992,Semi-Furnished,Apartment,Builder,1.0,2
PROP-000008,2019-09-10,Pune,3170,3,2.0,38,18934244.0,16163,Unfurnished,Plot,Owner,1.0,1
PROP-000009,2021-01-09,Mumbai,4849,5,4.0,19,8577934.0,5279,Furnished,Apartment,Owner,1.0,2
PROP-000010,2020-01-07,Pune,4577,3,2.0,22,13092711.0,4969,Furnished,Plot,Agent,0.0,1
PROP-000011,2019-05-11,Pune,4248,4,3.0,0,8764760.0,4234,Unfurnished,Office,Owner,,2
PROP-000012,2021-10-30,Mumbai,4515,4,1.0,1,2866012.0,13587,Semi-Furnished,Plot,Agent,1.0,2
PROP-000013,2019-09-20,Kolkata,3916,1,4.0,19,9512910.0,3935,Furnished,Villa,Owner,0.0,0
PROP-000014,2019-06-01,Pune,3224,3,4.0,4,,8881,Unfurnished,Plot,Builder,1.0,0
PROP-000015,2019-09-19,Pune,3220,4,3.0,49,14602497.0,17144,Unfurnished,Apartment,Owner,0.0,2
PROP-000016,2019-10-13,Chennai,4832,2,1.0,37,,4656,Furnished,Office,Builder,1.0,1
PROP-000017,2019-06-15,Kolkata,2700,3,1.0,29,7551885.0,13632,Furnished,Villa,Owner,0.0,0
PROP-000018,2020-08-07,Mumbai,985,3,1.0,15,15444574.0,11859,Furnished,Apartment,Builder,1.0,1
PROP-000019,2023-03-05,Mumbai,4415,2,3.0,2,10000765.0,12247,Semi-Furnished,Apartment,Agent,0.0,0
PROP-000020,2020-01-12,Pune,2797,1,3.0,46,11954056.0,9475,Unfurnished,Apartment,Owner,0.0,1
PROP-000021,2019-11-27,Mumbai,917,3,2.0,47,8793490.0,6278,Furnished,Villa,Builder,1.0,1
PROP-000022,2021-06-04,Chennai,2127,2,4.0,-29,2136842.0,6615,Semi-Furnished,Apartment,Owner,1.0,1
PROP-000023,2019-04-22,Pune,825,5,4.0,48,-18398448.0,15240,Unfurnished,Apartment,Agent,0.0,1
PROP-000024,2019-04-26,Chennai,4427,2,4.0,45,19506215.0,11531,Furnished,Office,Agent,0.0,0
PROP-000025,2019-01-29,Chennai,3493,5,4.0,45,17243225.0,9864,Unfurnished,Villa,Owner,1.0,2
PROP-000026,2022-04-03,Chennai,2228,3,3.0,10,8604998.0,7738,Semi-Furnished,Office,Owner,,2
PROP-000027,2018-07-28,Mumbai,610,5,1.0,21,9143515.0,14410,Furnished,Plot,Builder,0.0,0
PROP-000028,2020-11-01,Pune,3040,1,2.0,31,3030998.0,4461,Unfurnished,Apartment,Agent,1.0,1
PROP-000029,2021-09-07,Chennai,1077,1,2.0,29,13555575.0,18109,Semi-Furnished,Plot,Owner,0.0,1
PROP-000030,2018-11-22,Delhi,2849,5,1.0,36,14438680.0,17383,Furnished,Villa,Owner,0.0,2
PROP-000031,2020-08-04,Bangalore,4054,2,1.0,5,9564198.0,15771,Semi-Furnished,Office,Builder,1.0,2
PROP-000032,2021-04-13,Pune,4955,5,1.0,28,16458288.0,4501,Semi-Furnished,Office,Agent,1.0,2
PROP-000033,2021-10-31,Bangalore,3836,3,4.0,17,4579552.0,10658,Semi-Furnished,Apartment,Agent,1.0,2
PROP-000034,2019-11-18,Mumbai,1661,4,3.0,18,14932445.0,10271,Semi-Furnished,Apartment,Builder,1.0,2
PROP-000035,2022-01-31,Chennai,2781,1,4.0,10,8990652.0,10321,Semi-Furnished,Villa,Agent,0.0,2
PROP-000036,2018-11-15,Delhi,2898,4,2.0,25,,15742,Furnished,Apartment,Agent,0.0,2
PROP-000037,2022-04-02,Delhi,868,4,2.0,1,4416971.0,9723,Unfurnished,Plot,Owner,1.0,1
PROP-000038,2021-03-25,Mumbai,3871,1,2.0,20,18041912.0,9056,Unfurnished,Villa,Builder,0.0,1
PROP-000039,2022-10-18,Chennai,4182,5,2.0,32,9501700.0,14125,Furnished,Apartment,Builder,1.0,0
PROP-000040,2018-06-22,Bangalore,631,5,4.0,25,5238084.0,15997,Furnished,Villa,Builder,1.0,0
PROP-000041,2018-06-13,Bangalore,3702,4,1.0,11,15499321.0,18713,Furnished,Apartment,Agent,0.0,0
,2020-02-26,Pune,3453,1,3.0,3,7359474.0,18115,Semi-Furnished,Office,Agent,1.0,2
PROP-000043,2021-12-23,Mumbai,4618,5,4.0,28,18035737.0,4177,Furnished,Villa,Builder,1.0,2
PROP-000044,2019-05-24,Bangalore,727,5,4.0,35,4478663.0,11638,Semi-Furnished,Plot,Owner,0.0,1
PROP-000045,2020-04-23,Delhi,2964,1,,32,6725961.0,5460,Semi-Furnished,Apartment,Owner,0.0,2
PROP-000046,2018-07-18,Kolkata,1160,4,2.0,11,16169773.0,18776,Furnished,Office,Agent,0.0,1
PROP-000047,2021-02-11,Kolkata,4451,5,3.0,38,18433715.0,15725,Furnished,Apartment,Agent,0.0,0
PROP-000048,2018-01-24,Kolkata,2726,2,3.0,7,9486932.0,4837,Semi-Furnished,Office,Agent,1.0,1
PROP-000049,2023-04-11,Delhi,1223,4,2.0,39,17724689.0,6514,Furnished,Plot,Agent,0.0,1
PROP-000050,2023-02-27,Mumbai,2615,2,1.0,47,11892017.0,14660,Unfurnished,Apartment,Builder,0.0,0
PROP-000051,2022-05-16,Kolkata,4806,1,3.0,32,7364188.0,5598,Unfurnished,Plot,Builder,1.0,2
PROP-000052,2018-10-31,Chennai,2949,2,3.0,14,19487896.0,8647,Unfurnished,Plot,Agent,0.0,0
PROP-000053,2021-02-16,Mumbai,2738,5,2.0,49,12216380.0,7986,Semi-Furnished,Apartment,Agent,0.0,0
PROP-000054,2018-03-08,Delhi,4325,1,1.0,0,11040262.0,8194,Furnished,Villa,Owner,0.0,1
PROP-000055,2022-04-07,Mumbai,804,1,1.0,0,2556827.0,11436,Semi-Furnished,Villa,Builder,1.0,0
PROP-000056,2020-09-02,Chennai,4368,3,3.0,19,14871206.0,5512,Semi-Furnished,Plot,Builder,0.0,1
PROP-000057,2022-11-30,Mumbai,2995,4,2.0,42,5347813.0,13765,Semi-Furnished,Apartment,Agent,0.0,0
PROP-000058,2023-05-24,Mumbai,2284,4,2.0,28,16946316.0,4932,Unfurnished,Plot,Builder,1.0,0
PROP-000059,2018-08-06,Bangalore,3692,5,4.0,6,15136892.0,6684,Unfurnished,Office,Agent,1.0,0
PROP-000060,2019-06-06,Pune,1961,1,4.0,37,5075094.0,17580,Unfurnished,Villa,Builder,1.0,2
PROP-000061,2019-08-20,Bangalore,3623,3,3.0,36,15230304.0,7203,Unfurnished,Office,Owner,0.0,1
PROP-000062,2020-03-10,Mumbai,4481,1,4.0,34,9335836.0,15706,Unfurnished,Villa,Builder,0.0,0
PROP-000063,2018-09-13,Delhi,4760,5,4.0,41,2372227.0,11511,Furnished,Villa,Owner,1.0,1
,2020-08-30,Kolkata,1420,4,2.0,31,3487546.0,17383,Furnished,Plot,Agent,1.0,2
PROP-000065,2018-04-17,Chennai,783,1,1.0,9,4957181.0,7799,Unfurnished,Office,Builder,0.0,1
PROP-000066,2022-07-18,Chennai,1897,5,1.0,35,15376172.0,19921,Unfurnished,Villa,Owner,1.0,2
PROP-000067,2021-01-11,Delhi,1017,1,2.0,7,11922000.0,3534,Furnished,Villa,Builder,0.0,0
PROP-000068,2022-09-27,Pune,1640,1,2.0,0,17733682.0,15318,Unfurnished,Office,Builder,1.0,2
PROP-000069,2021-09-29,Pune,559,5,2.0,49,10334023.0,5648,Furnished,Apartment,Agent,0.0,1
PROP-000070,2018-04-16,Pune,4998,5,3.0,43,14088869.0,12298,Furnished,Apartment,Builder,1.0,0
PROP-000071,2023-01-03,Chennai,1891,2,3.0,47,16835390.0,9417,Unfurnished,Villa,Owner,1.0,1
PROP-000072,2022-02-27,Pune,1517,1,4.0,13,16373742.0,4294,Unfurnished,Office,Builder,1.0,2
PROP-000073,2020-09-30,Delhi,3996,1,3.0,30,11933983.0,12935,Unfurnished,Villa,Builder,0.0,2
,2018-09-04,Kolkata,878,1,3.0,28,14297948.0,4863,Unfurnished,Villa,Owner,0.0,2
PROP-000075,2018-04-05,Kolkata,2560,3,4.0,0,2654157.0,11448,Unfurnished,Plot,Builder,0.0,1
PROP-000076,2022-02-19,Mumbai,548,4,2.0,25,5431647.0,4900,Furnished,Villa,Builder,0.0,2
PROP-000077,2022-04-05,Delhi,2713,1,3.0,32,-7175462.0,7526,Furnished,Plot,Agent,0.0,2
PROP-000078,2022-08-13,Kolkata,1350,1,4.0,5,6887557.0,6663,Furnished,Apartment,Builder,0.0,0
PROP-000079,2022-02-14,Pune,4898,3,1.0,8,13466036.0,18403,Furnished,Office,Builder,1.0,0
PROP-000080,2018-07-31,Bangalore,1108,4,1.0,34,18781056.0,7376,Furnished,Apartment,Agent,1.0,1
