employee_id,join_date,department,role,age,gender,salary,tenure_months,performance_score,satisfaction_score,overtime_hours,trainings_attended,attrition,last_promotion_months_ago
EMP-000000,2017-03-21,IT,Manager,53,Male,922939,101.0,4.826335118934075,3.7170702723577977,29,2,0.0,6
EMP-000001,2015-06-16,HR,Mid,39,Male,453018,83.0,1.3733943306512697,2.3462448863362733,43,4,0.0,10
EMP-000002,2019-11-06,Finance,Lead,57,Male,1645760,39.0,3.3021378324885324,2.3190352583188756,3,7,1.0,4
EMP-000003,2017-03-09,Finance,Lead,37,,597689,66.0,1.9323637897167707,2.2756181957354022,39,4,1.0,17
EMP-000004,2018-08-01,HR,Senior,54,Male,641868,1.0,2.2828819051602527,1.4417770514593569,34,4,0.0,30
EMP-000005,2015-09-20,Sales,Lead,48,Male,1249647,62.0,1.3977606998353473,2.622283855667139,25,0,0.0,14
EMP-000006,2020-08-09,Sales,Lead,57,Female,1124370,88.0,2.4077396970464333,4.053861357872252,35,6,0.0,47
EMP-000007,2016-01-03,HR,Mid,38,Female,1720164,84.0,4.2794779890181385,4.074332656438907,9,4,1.0,38
EMP-000008,2018-06-25,Sales,Mid,27,Female,692057,5.0,4.526141127499592,2.1252505112946047,18,8,1.0,20
EMP-000009,2018-02-28,HR,Manager,45,Male,1599488,90.0,4.753790418624904,4.354446341758226,48,7,1.0,39
EMP-000010,2018-02-07,Finance,Manager,56,Male,471223,59.0,2.925303543442389,3.560448213045592,47,4,1.0,41
EMP-000011,2020-02-28,Finance,Junior,38,Male,767206,,4.806974313848679,4.135568418957309,13,2,1.0,44
EMP-000012,2018-12-11,IT,Manager,31,Female,541954,97.0,4.214783000287154,2.1678493807219374,46,8,1.0,43
EMP-000013,2019-06-03,Marketing,Lead,40,Male,942160,103.0,2.0179803889088888,3.8433458573901023,26,8,1.0,43
EMP-000014,2021-04-22,Marketing,,38,Male,1027556,73.0,4.143730137043431,4.82210897733794,45,6,0.0,27
EMP-000015,2015-11-12,IT,Junior,52,Female,1562658,95.0,4.675733882942492,3.064028556390676,10,9,0.0,1
EMP-000016,2020-06-15,Sales,Senior,32,Female,854562,29.0,4.710180090763093,3.811603252988344,30,9,1.0,21
