shipment_id,order_date,delivery_date,origin_city,destination_city,carrier,weight_kg,distance_km,shipping_cost,delivery_days,on_time,package_type,customer_rating
SHIP-000000,2022-09-01,2022-10-11,Chennai,Bangalore,FedEx,43.89333324266452,1420,3994.0,10.0,0,Pallet,1
SHIP-000001,2023-07-12,2022-05-18,Bangalore,Delhi,DTDC,22.090754928827852,701,1121.0,13.0,0,Envelope,3
SHIP-000002,2022-11-10,2023-08-06,Mumbai,Pune,DHL,96.15993294584827,1774,4428.0,1.0,0,Envelope,5
SHIP-000003,2023-11-23,2023-07-13,Delhi,Kolkata,FedEx,55.146264148176755,1842,3758.0,12.0,0,Box,1
SHIP-000004,2023-09-09,2023-07-03,Bangalore,Delhi,DHL,32.24053092257464,1741,4536.0,3.0,1,Box,3
SHIP-000005,2022-02-14,2024-03-18,Chennai,Chennai,DTDC,6.511728485854667,1175,1313.0,2.0,0,Envelope,1
SHIP-000006,2024-02-18,2022-07-17,Mumbai,Pune,FedEx,97.3644082365151,278,442.0,2.0,0,Pallet,4
SHIP-000007,2022-09-15,2024-05-10,Delhi,Bangalore,DTDC,61.98778315790967,865,3653.0,11.0,0,Pallet,1
SHIP-000008,2024-01-31,2023-04-15,Chennai,Delhi,BlueDart,63.47432067566946,107,3486.0,10.0,1,Pallet,5
SHIP-000009,2022-02-23,2022-10-02,Mumbai,Chennai,BlueDart,35.87601896399009,2274,4218.0,5.0,1,Pallet,3
SHIP-000010,2022-02-03,2022-03-21,Bangalore,Bangalore,DTDC,85.31575782346216,259,434.0,13.0,1,Pallet,4
SHIP-000011,2024-04-22,2024-03-29,Chennai,Mumbai,DTDC,77.67652082949624,2421,332.0,13.0,1,Envelope,4
SHIP-000012,2023-03-29,2023-04-12,Bangalore,Mumbai,DTDC,79.3853931649021,2032,4493.0,5.0,1,Pallet,1
SHIP-000013,2023-01-14,2023-05-20,Chennai,Mumbai,BlueDart,24.459019265292742,347,4064.0,2.0,1,Pallet,2
SHIP-000014,2023-03-09,2022-02-10,Delhi,Mumbai,DTDC,25.315539390091676,1058,2424.0,13.0,1,Pallet,2
SHIP-000015,2023-10-10,2022-11-19,Mumbai,Kolkata,DHL,59.36051234759891,889,3176.0,8.0,1,Box,1
SHIP-000016,2022-02-21,2024-06-19,Mumbai,Bangalore,FedEx,19.050751488128366,1940,244.0,6.0,1,Pallet,5
SHIP-000017,2022-11-15,2022-02-24,Delhi,Pune,BlueDart,50.481193673458336,1139,4395.0,10.0,1,Pallet,2
SHIP-000018,2023-01-23,2024-05-03,Chennai,Pune,BlueDart,3.829865595198365,270,3980.0,10.0,0,Box,3
SHIP-000019,2023-11-20,2024-01-12,Mumbai,Pune,BlueDart,14.388786832519713,2834,3710.0,5.0,1,Envelope,4
SHIP-000020,2024-06-13,2023-08-30,Bangalore,Kolkata,BlueDart,45.836686387101715,659,1221.0,10.0,0,Envelope,1
SHIP-000021,2022-03-16,2023-04-12,Mumbai,Chennai,DHL,78.34978841761897,1924,2420.0,9.0,1,Box,3
SHIP-000022,2023-07-12,2024-01-13,Bangalore,Chennai,DTDC,2.290021086940933,2675,1247.0,14.0,0,Box,4
SHIP-000023,2023-05-13,2023-06-19,Bangalore,Delhi,DHL,99.6084578225591,1899,3864.0,8.0,1,Box,4
SHIP-000024,2023-06-07,2022-04-19,Bangalore,Bangalore,BlueDart,86.62736928279364,2058,4189.0,6.0,0,Pallet,1
SHIP-000025,2022-01-27,2022-05-09,Mumbai,Delhi,DHL,20.554639390528035,103,2798.0,9.0,0,Envelope,1
SHIP-000026,2022-01-21,2022-12-14,Chennai,Chennai,BlueDart,2.7497140787149026,754,1100.0,2.0,1,Box,3
SHIP-000027,2023-06-15,2024-01-12,Chennai,Pune,DHL,31.306782987326127,1807,2817.0,9.0,0,Envelope,5
SHIP-000028,2023-03-23,2022-02-20,Mumbai,Mumbai,DTDC,59.72629464564391,264,4477.0,3.0,0,Envelope,1
SHIP-000029,2022-11-11,2022-07-26,Chennai,Pune,DTDC,31.058278825049598,575,2934.0,13.0,1,Pallet,1
SHIP-000030,2022-10-14,2022-07-11,Chennai,Kolkata,DHL,71.80027243743679,2476,4920.0,13.0,1,Envelope,5
SHIP-000031,2023-02-11,2022-03-21,Chennai,Bangalore,DHL,42.20397400529089,2906,663.0,7.0,1,Box,3
SHIP-000032,2023-09-25,2024-02-06,Chennai,Bangalore,BlueDart,41.862015243656884,219,4472.0,4.0,1,Envelope,1
SHIP-000033,2023-12-13,2024-01-03,Bangalore,Pune,BlueDart,67.21434136123528,634,1237.0,11.0,1,Box,5
SHIP-000034,2023-08-21,2023-11-30,Mumbai,Kolkata,DHL,56.55334827800029,271,3101.0,9.0,0,Envelope,5
SHIP-000035,2022-03-11,2023-05-27,Chennai,Bangalore,DHL,81.1727252760039,991,3747.0,12.0,0,Box,4
SHIP-000036,2023-05-08,2022-07-23,Delhi,Pune,DTDC,7.441701820503146,1313,1981.0,14.0,1,Pallet,1
SHIP-000037,2022-05-06,2022-07-13,Bangalore,Chennai,BlueDart,75.88077288671076,2373,4249.0,12.0,1,Box,5
SHIP-000038,2023-08-22,2023-04-05,Chennai,Delhi,BlueDart,36.946833949165,893,1328.0,11.0,1,Envelope,2
SHIP-000039,2022-03-21,2022-04-28,Mumbai,Kolkata,DTDC,13.591286846496434,1724,1287.0,5.0,1,Envelope,4
SHIP-000040,2022-06-04,2023-09-27,Bangalore,Chennai,DHL,92.13855621410269,818,1296.0,2.0,1,Envelope,4
SHIP-000041,2023-03-26,2022-09-12,Chennai,Mumbai,DTDC,40.303832244371144,1895,2844.0,1.0,0,Envelope,1
SHIP-000042,2024-01-17,2024-01-20,Delhi,Mumbai,DHL,62.37598941218919,1242,1233.0,12.0,1,Envelope,5
SHIP-000043,2022-03-11,2023-04-20,Delhi,Mumbai,FedEx,53.042281184550404,944,2424.0,8.0,0,Envelope,4
SHIP-000044,2024-04-23,2022-01-07,Delhi,Mumbai,FedEx,80.10439808403474,2481,4845.0,12.0,0,Box,3
SHIP-000045,2022-07-14,2023-06-08,Bangalore,Delhi,FedEx,37.82377689920754,1849,3132.0,14.0,0,Pallet,5
SHIP-000046,2022-11-18,2022-11-27,Delhi,Kolkata,DTDC,94.16655350696837,1990,1488.0,8.0,0,Box,5
SHIP-000047,2024-04-21,2024-01-16,Mumbai,Delhi,DTDC,83.66945804561219,84,2304.0,14.0,0,Pallet,5
SHIP-000048,2023-01-18,2022-06-13,Chennai,Mumbai,DTDC,84.65964993576402,846,4583.0,11.0,1,Envelope,4
SHIP-000049,2022-12-06,2024-01-11,Delhi,Mumbai,DHL,87.07065456847906,2746,2871.0,3.0,1,Box,3
SHIP-000050,2023-10-15,2022-08-30,Chennai,Chennai,FedEx,87.68011645087795,2475,862.0,14.0,1,Box,1
SHIP-000051,2024-03-18,2022-08-05,Bangalore,Chennai,BlueDart,27.536033564282125,1547,337.0,6.0,0,Pallet,1
SHIP-000052,2022-02-06,2023-03-10,Mumbai,Kolkata,DHL,7.368016524242863,2439,4346.0,11.0,1,Envelope,5
SHIP-000053,2023-07-27,2023-03-11,Bangalore,Pune,BlueDart,18.917748125840347,2966,1083.0,7.0,1,Envelope,5
SHIP-000054,2023-09-02,2024-03-28,Mumbai,Chennai,BlueDart,23.50581466084328,2178,3263.0,12.0,1,Pallet,5
SHIP-000055,2022-10-02,2024-03-15,Bangalore,Kolkata,DTDC,66.70208384621792,2829,1599.0,2.0,1,Box,1
SHIP-000056,2024-01-29,2022-05-08,Delhi,Pune,DTDC,14.894461139894947,2566,3863.0,14.0,0,Pallet,1
SHIP-000057,2022-09-15,2024-05-12,Bangalore,Mumbai,DTDC,4.39887137661527,2228,1000.0,5.0,1,Pallet,1
SHIP-000058,2024-01-16,2022-10-03,Chennai,Bangalore,DHL,75.36553440616903,2449,709.0,10.0,1,Envelope,2
SHIP-000059,2023-07-08,2023-11-30,Mumbai,Pune,BlueDart,76.32474092511829,1530,133.0,4.0,0,Envelope,5
SHIP-000060,2023-07-26,2022-04-13,Delhi,Bangalore,DHL,91.97603213438646,1749,4441.0,11.0,0,Box,1
SHIP-000061,2024-02-08,2022-05-28,Mumbai,Chennai,FedEx,25.48155660733407,2191,4208.0,2.0,0,Pallet,4
SHIP-000062,2024-04-08,2022-10-30,Mumbai,Kolkata,DHL,92.3001680928539,2049,2036.0,11.0,0,Pallet,3
SHIP-000063,2022-03-08,2023-10-23,Delhi,Bangalore,DTDC,27.390591155140466,2136,3409.0,,1,Box,3
SHIP-000064,2022-04-22,2024-06-22,Delhi,Chennai,BlueDart,13.326725258119364,2666,306.0,7.0,0,,5
SHIP-000065,2024-01-10,2022-04-08,Mumbai,Mumbai,FedEx,57.19795234709399,873,283.0,9.0,1,Pallet,1
SHIP-000066,2024-05-28,2022-04-27,Mumbai,Pune,FedEx,37.258337318168024,2569,1274.0,6.0,0,Pallet,5
SHIP-000067,2022-04-21,2023-01-14,Chennai,Bangalore,FedEx,48.00942428853676,863,2392.0,,1,Pallet,3
SHIP-000068,2023-07-19,2023-04-02,Chennai,Chennai,FedEx,84.30791882533265,1024,2252.0,12.0,1,Envelope,1
SHIP-000069,2022-02-06,2023-05-05,Mumbai,Chennai,DHL,95.72242791509643,164,877.0,13.0,0,Box,2
SHIP-000070,2024-04-29,2022-07-06,Delhi,Kolkata,BlueDart,56.11582284159787,2299,4790.0,6.0,1,Box,3
SHIP-000071,2022-07-26,2023-08-20,Delhi,Mumbai,DTDC,27.608766413492244,2711,251.0,8.0,0,Envelope,1
SHIP-000072,2024-01-08,2023-05-06,Delhi,Kolkata,DTDC,71.4243521655596,1215,3176.0,4.0,0,Pallet,4
SHIP-000073,2022-06-01,2022-05-29,Delhi,Mumbai,BlueDart,33.69899826270961,1050,4035.0,9.0,1,Envelope,5
SHIP-000074,2022-10-23,2022-06-24,Chennai,Bangalore,BlueDart,0.6100608559421412,286,1750.0,8.0,0,Envelope,5
SHIP-000075,2022-07-17,2023-12-07,Bangalore,Delhi,FedEx,87.49888721246788,146,4513.0,9.0,0,Box,4
SHIP-000076,2023-10-03,2023-09-18,Chennai,Pune,FedEx,45.32802875266131,2198,1755.0,8.0,1,Pallet,3
SHIP-000077,2024-05-27,2023-02-24,Delhi,Pune,DTDC,77.93090498002562,2882,112.0,3.0,0,Box,1
SHIP-000078,2023-03-19,2024-01-14,Bangalore,Delhi,FedEx,17.98484081163631,2635,3829.0,8.0,1,Box,2
SHIP-000079,2023-07-12,2022-11-27,Chennai,Bangalore,DTDC,34.91668643598701,980,2308.0,12.0,0,Box,1
SHIP-000080,2024-02-22,2022-12-29,Chennai,Kolkata,DTDC,96.50388347862305,2689,2215.0,2.0,0,Pallet,5
SHIP-000081,2024-01-22,2023-02-18,Delhi,Kolkata,FedEx,47.27029111732071,2109,2863.0,10.0,0,Box,4
SHIP-000082,2022-05-10,2023-08-08,Chennai,Pune,BlueDart,88.30315250402363,1448,1278.0,4.0,1,Pallet,4
SHIP-000083,2022-04-05,2022-09-15,Bangalore,Chennai,DTDC,77.58521211451131,573,2927.0,6.0,1,Pallet,3
SHIP-000084,2023-02-03,2022-01-06,Delhi,Pune,FedEx,98.75210539551432,205,4299.0,1.0,1,Box,1
SHIP-000085,2022-09-12,2022-12-19,Bangalore,Chennai,BlueDart,55.93696006516487,213,1785.0,14.0,1,Box,1
SHIP-000086,2023-01-21,2022-11-21,Mumbai,Mumbai,DTDC,30.12830265067831,1464,2488.0,10.0,1,Pallet,3
SHIP-000087,2023-05-23,2023-07-22,Mumbai,Delhi,FedEx,71.59599497291157,753,581.0,7.0,0,Pallet,1
SHIP-000088,2024-04-02,2022-05-18,Chennai,Mumbai,DHL,59.58233969044672,1580,1871.0,7.0,1,Box,2
SHIP-000089,2023-09-16,2023-05-11,Mumbai,Delhi,DHL,14.836128692035723,834,1744.0,12.0,0,Pallet,4
SHIP-000090,2023-01-05,2022-03-10,Delhi,Chennai,BlueDart,24.65372866408841,1466,3085.0,1.0,1,Pallet,1
SHIP-000091,2023-11-16,2022-06-12,Mumbai,Kolkata,BlueDart,21.848670399673864,488,4822.0,14.0,1,Pallet,3
SHIP-000092,2022-03-01,2022-10-06,Bangalore,Kolkata,DTDC,69.60380460683511,2029,3786.0,5.0,0,Envelope,3
SHIP-000093,2023-10-07,2024-01-09,Mumbai,Delhi,FedEx,79.09577211421748,1968,639.0,3.0,0,Pallet,4
SHIP-000094,2024-03-12,2023-04-13,Bangalore,Chennai,DHL,47.661532373250026,783,2470.0,7.0,0,Box,4
SHIP-000095,2023-06-19,2023-12-01,Delhi,Pune,DHL,30.114419476861094,948,1434.0,14.0,1,Box,5
SHIP-000096,2022-07-12,2023-01-31,Chennai,Chennai,BlueDart,4.11216331168739,1838,1667.0,,1,Envelope,5
SHIP-000097,2023-04-28,2024-04-10,Mumbai,Kolkata,FedEx,77.51180387223673,1641,906.0,3.0,1,Pallet,3
SHIP-000098,2024-01-10,2024-02-21,Mumbai,Pune,BlueDart,13.573715541548033,2775,1940.0,7.0,1,Box,2
SHIP-000099,2023-05-18,2023-09-03,Chennai,Delhi,BlueDart,83.049259272818,629,1464.0,9.0,0,Pallet,2
SHIP-000100,2022-03-06,2022-03-02,Delhi,Bangalore,DTDC,58.88193636789713,2848,4615.0,2.0,1,Envelope,4
SHIP-000101,2022-10-28,2023-01-21,Mumbai,Kolkata,FedEx,49.186394856365254,2944,2595.0,12.0,0,,1
SHIP-000102,2022-04-08,2022-09-17,Mumbai,Delhi,BlueDart,16.614643840930395,2352,3006.0,4.0,0,Box,5
