post_id,post_date,platform,author_id,content_type,likes,comments,shares,reach,impressions,engagement_rate,followers_at_post,hashtag_count,is_sponsored,sentiment
POST-00000000,2023-09-25 00:00:00,LinkedIn,USER-01856,Text,91455.0,3236.0,407,747291,1338008,12.111703024086665,547359,20.0,1,Negative
POST-00000001,2023-09-14 19:00:00,TikTok,USER-01591,Reel,3134.0,1194.0,8487,259045,1084854,6.160938772242983,549420,14.0,1,Neutral
POST-00000002,2024-03-14 00:00:00,Twitter,USER-01353,Reel,8610.0,4544.0,4316,410322,1298848,1.5158447854740658,869684,28.0,1,Positive
POST-00000003,2023-07-30 00:00:00,Instagram,USER-00218,Text,9701.0,912.0,2727,150350,226039,10.46624938907364,350893,2.0,0,Negative
POST-00000004,2023-07-11 21:00:00,Facebook,USER-01216,Video,47014.0,225.0,5678,982129,61130,6.9730209808082035,941976,4.0,0,Negative
POST-00000005,2023-11-04 05:00:00,Facebook,USER-01529,Image,3797.0,1654.0,1124,741432,1656737,3.5401040000212713,710792,21.0,1,Negative
POST-00000006,2023-04-06 09:00:00,Twitter,USER-00540,Text,37304.0,3426.0,1067,742998,1499574,1.5256859596995325,644560,5.0,1,Neutral
POST-00000007,2024-07-30 12:00:00,Twitter,USER-01687,Video,58230.0,3725.0,1143,898968,370095,12.776452357251648,583695,18.0,1,Negative
POST-00000008,2023-06-09 06:00:00,TikTok,USER-00571,Video,86142.0,4461.0,3438,57357,187437,1.1112288704148425,66627,18.0,0,Negative
POST-00000009,2023-01-06 19:00:00,LinkedIn,USER-00003,Video,11471.0,216.0,5733,514159,1392870,12.282170551708065,352234,29.0,0,Negative
POST-00000010,2024-05-05 05:00:00,LinkedIn,USER-01953,Text,82842.0,2121.0,4188,793971,1905522,8.07863129605143,176885,4.0,1,Neutral
POST-00000011,2023-12-25 22:00:00,Twitter,USER-01984,Video,41690.0,2442.0,3559,474684,367897,0.5575787342335681,646666,8.0,1,Positive
POST-00000012,2024-06-19 17:00:00,LinkedIn,USER-00237,Image,12902.0,785.0,3902,231162,1614984,14.802798144811106,304956,23.0,1,Neutral
POST-00000013,2023-08-22 10:00:00,Twitter,USER-00190,Text,12806.0,850.0,2303,190482,369109,14.014751484253935,405365,20.0,0,Negative
POST-00000014,2023-01-19 11:00:00,LinkedIn,USER-01105,Text,62133.0,1313.0,9257,521831,1488291,13.799613044041937,54521,22.0,0,Negative
POST-00000015,2023-08-30 08:00:00,Twitter,USER-01002,Story,4437.0,,7158,415398,49920,1.8218502881358933,609735,11.0,0,Negative
POST-00000016,2023-10-05 14:00:00,Instagram,USER-00271,Video,58607.0,2270.0,958,827229,629458,9.793470883661106,470625,7.0,1,Neutral
POST-00000017,2023-05-17 04:00:00,TikTok,USER-01545,Text,71685.0,3052.0,3823,192705,117369,6.440175066209611,102710,10.0,0,Positive
POST-00000018,2023-10-19 02:00:00,Facebook,USER-01663,Story,89644.0,3934.0,572,514527,1546998,2.7176879408694194,368365,4.0,1,Neutral
POST-00000019,2023-11-22 11:00:00,Twitter,USER-00999,Text,18569.0,1149.0,7870,238464,1303076,14.93067708191318,181055,29.0,1,Negative
POST-00000020,2024-03-28 06:00:00,Twitter,USER-01970,Story,59881.0,1653.0,1056,853600,1488563,10.247830082024757,311791,4.0,1,Positive
POST-00000021,2023-12-05 18:00:00,Facebook,USER-00949,Reel,64209.0,1860.0,5384,803752,437661,0.3423517236826229,114081,9.0,1,Positive
POST-00000022,2024-03-22 03:00:00,Facebook,USER-00054,Image,90256.0,,6682,261712,1064789,8.068416165718558,387843,8.0,0,Neutral
POST-00000023,2023-02-26 15:00:00,Facebook,USER-01129,Video,45826.0,900.0,6372,853826,1045301,8.464654433416795,915391,19.0,1,Positive
POST-00000024,2024-07-27 06:00:00,TikTok,USER-01315,Image,18526.0,4693.0,9046,615342,1532920,7.131143331865449,487680,8.0,1,Positive
POST-00000025,2023-04-05 13:00:00,Instagram,USER-01429,Video,58619.0,445.0,457,544664,665360,1.1323228209450908,214984,6.0,1,Negative
POST-00000026,2024-07-29 08:00:00,Twitter,USER-01309,Image,3245.0,356.0,8128,926888,401644,0.06247600472741588,445871,13.0,0,Positive
POST-00000027,2024-05-20 20:00:00,Instagram,USER-01263,Image,93704.0,527.0,2621,536603,541341,12.4489146198715,527472,24.0,1,Neutral
POST-00000028,2024-05-23 23:00:00,Instagram,USER-00082,Reel,19258.0,1913.0,9645,977706,897597,11.273028634343504,519912,19.0,0,Neutral
POST-00000029,2024-06-09 20:00:00,TikTok,USER-00439,Text,21936.0,3249.0,3562,625443,896678,10.072230605371741,387538,13.0,0,Negative
POST-00000030,2023-01-25 22:00:00,TikTok,USER-00734,Story,79782.0,3298.0,7254,688349,345460,7.136851333705287,425674,12.0,0,Neutral
POST-00000031,2023-11-14 13:00:00,LinkedIn,USER-00029,Text,24024.0,4395.0,7397,558182,102826,7.734761975432557,751332,8.0,1,Negative
POST-00000032,2024-04-09 00:00:00,TikTok,USER-00927,Image,73743.0,552.0,7150,649005,1042748,13.283548838229306,685890,29.0,1,Negative
POST-00000033,2024-02-15 04:00:00,LinkedIn,USER-01170,Story,30991.0,1831.0,4196,375475,1491092,14.171887022428464,759963,14.0,0,Neutral
POST-00000034,2023-05-23 20:00:00,Twitter,USER-00445,Story,35852.0,1412.0,8674,626442,711387,7.185784300780362,225632,17.0,0,Negative
POST-00000035,2024-04-29 12:00:00,Twitter,USER-01342,Story,82685.0,1821.0,6006,965495,1289549,12.28512282377103,13586,27.0,0,Negative
POST-00000036,2023-11-18 05:00:00,TikTok,USER-01899,Story,24796.0,936.0,6337,784776,479717,10.114520776854894,44719,3.0,0,Positive
POST-00000037,2023-11-16 11:00:00,Instagram,USER-00737,Image,76460.0,4154.0,4043,714654,217516,0.987594276066493,823496,14.0,1,Negative
POST-00000038,2023-09-11 12:00:00,Twitter,USER-00656,Video,32682.0,2373.0,1914,69319,1001961,11.234673690679577,489592,5.0,0,Neutral
POST-00000039,2023-10-11 10:00:00,Instagram,USER-00554,Image,64884.0,3799.0,3825,841579,342786,2.7145875773833925,859106,18.0,1,Positive
POST-00000040,2024-02-27 11:00:00,Facebook,USER-01653,Text,12309.0,3959.0,237,105234,928554,14.707595678384186,636922,5.0,0,Neutral
POST-00000041,2024-06-28 12:00:00,Instagram,USER-01651,Image,20334.0,4635.0,2401,386731,240791,14.981923750611633,233124,3.0,1,Neutral
POST-00000042,2023-12-26 22:00:00,LinkedIn,USER-00802,Story,37331.0,3590.0,4076,995708,1148859,1.9400237275848848,728481,3.0,0,Positive
POST-00000043,2024-03-02 06:00:00,Instagram,USER-01976,Video,29124.0,4484.0,1323,643450,1571456,8.792659866061298,460916,24.0,1,Negative
POST-00000044,2024-08-14 19:00:00,Instagram,USER-01818,Text,50842.0,3349.0,660,712629,1685349,9.336746643399009,421017,17.0,1,Positive
POST-00000045,2023-03-15 22:00:00,Facebook,USER-01786,Story,65184.0,1404.0,648,757000,1450972,7.532886854054722,733413,2.0,1,Neutral
POST-00000046,2023-12-29 05:00:00,Facebook,USER-01551,Image,60962.0,2521.0,6100,832560,1016567,11.60941245251238,233678,3.0,0,Negative
POST-00000047,2024-02-24 10:00:00,TikTok,USER-01413,Video,15672.0,4710.0,6161,246705,1480242,6.441213256632373,852696,1.0,0,Positive
POST-00000048,2024-07-22 19:00:00,LinkedIn,USER-00625,Story,37895.0,2795.0,4071,944571,1988933,8.522275080412513,875162,27.0,0,Positive
POST-00000049,2023-09-05 11:00:00,LinkedIn,USER-01408,Story,93508.0,1123.0,101,380264,1760832,3.6916727649952294,508781,1.0,0,Negative
POST-00000050,2024-04-25 15:00:00,LinkedIn,USER-00955,Reel,71558.0,,7244,256481,586177,10.970541594000276,866875,22.0,0,Positive
POST-00000051,2023-09-03 17:00:00,TikTok,USER-00922,Reel,21780.0,4619.0,7071,974864,1199147,0.6545121722040925,126596,22.0,0,Neutral
POST-00000052,2023-06-06 04:00:00,Twitter,USER-00772,Text,88245.0,4835.0,4351,44145,1743512,13.418997381143603,118136,6.0,0,Positive
POST-00000053,2024-02-06 02:00:00,Twitter,USER-00764,Text,66345.0,3152.0,7862,501916,1923709,2.2413743807976525,384706,6.0,0,Negative
POST-00000054,2024-07-22 05:00:00,Facebook,USER-01451,Video,1439.0,1534.0,991,679615,1137518,3.1835954656413863,518465,4.0,0,Neutral
POST-00000055,2024-02-04 02:00:00,Twitter,USER-01319,Video,16533.0,1485.0,5902,665413,1844395,2.24129044374651,317829,25.0,1,Neutral
POST-00000056,2023-05-17 06:00:00,TikTok,USER-00915,Story,88020.0,830.0,8494,786333,232931,2.2858720488491584,873015,11.0,0,Neutral
POST-00000057,2023-03-30 21:00:00,Instagram,USER-01007,Story,92359.0,3082.0,2390,817421,60984,7.423049777113549,875681,20.0,1,Positive
POST-00000058,2024-02-28 01:00:00,Twitter,USER-00684,Story,24215.0,4969.0,5729,107613,385582,5.231670828132899,391183,28.0,1,Neutral
POST-00000059,2024-01-09 22:00:00,TikTok,USER-00942,Reel,5342.0,3946.0,4871,84519,492223,1.928413862713484,570780,7.0,0,Negative
POST-00000060,2024-01-27 17:00:00,Twitter,USER-00294,Image,66055.0,,9032,997650,1672836,12.832926335519597,435021,12.0,0,Positive
