sensor_id,timestamp,location,temperature_c,humidity_pct,pressure_hpa,vibration,battery_level,signal_strength,error_code,operational_status
SENSOR-0055,2024-03-04 23:50:00,Factory B,-9.573582119878651,31.097357317865708,942.9059089563347,6.227460701985235,25.87152171948841,-52,1,Normal
SENSOR-0073,2024-01-03 23:01:00,Office,62.277068326385745,75.83887424574186,919.2438421256305,2.1755978936210205,9.260845534596541,-46,3,Warning
SENSOR-0084,2024-11-17 01:46:00,Lab,54.814401735643145,24.106294762425833,1075.5499062330266,0.601044422749909,42.976626944679786,76,0,Warning
SENSOR-0015,2024-09-27 04:19:00,Lab,39.26409604035619,57.51247031648741,1098.755304917109,1.6228365014236223,99.41938747880695,-98,2,Critical
SENSOR-0049,2024-04-26 00:55:00,Office,36.152356121871954,31.454340947959174,1037.5269705435692,9.047540945627874,91.57093008121848,-79,2,Warning
SENSOR-0030,2024-03-01 13:35:00,Warehouse,32.39680995344504,50.01114093227065,968.4096661485582,2.864646829749283,31.243887988595333,-56,0,Warning
SENSOR-0088,2024-06-05 05:18:00,Factory B,65.14557351035688,76.6296533415402,947.1423314610661,0.24351126331615958,56.83162709559062,-67,2,Critical
SENSOR-0050,2024-05-11 09:54:00,Lab,43.877876069889666,43.03286285722055,1044.6346940851242,0.11630327269592344,17.190799548378234,-50,0,Normal
SENSOR-0097,2024-06-19 08:08:00,Factory B,14.523009154785782,36.46753280070422,1068.4418205012798,1.6469589673066976,28.251901460304985,-96,3,Normal
SENSOR-0035,2024-12-24 12:07:00,Warehouse,-5.902381090701708,41.04493185947598,1051.9814697858476,8.569409706158455,88.79026405913713,-60,0,Warning
SENSOR-0024,2024-08-13 12:49:00,Warehouse,47.91025459442247,55.07072977138695,980.0182807464353,4.949192121011619,77.65363672066704,-32,0,Normal
SENSOR-0033,2024-11-28 11:31:00,Office,40.42693870110114,92.99238788628081,1008.9731762588375,5.961754645923882,96.154502330483,-80,3,Warning
SENSOR-0093,2024-08-08 09:01:00,Warehouse,52.50805945035989,59.35617276307897,1085.7080587904074,3.1021461295796193,79.34115630532665,-33,0,Normal
SENSOR-0061,2024-07-07 23:52:00,Lab,71.99776396354851,89.05989070232394,1002.7223456440745,6.831891077291687,76.41634678812251,-80,2,Critical
SENSOR-0031,2024-03-01 02:47:00,Warehouse,-4.5421572759173845,50.4551767527516,1042.609929586441,8.482710213606195,19.034792936934984,-91,3,Normal
SENSOR-0086,2024-03-10 00:30:00,Lab,76.7672828704686,64.71936098567991,1097.0778926550481,8.366105675861668,44.38126643366873,-37,0,Warning
SENSOR-0016,2024-06-06 05:54:00,Factory A,-3.001701316572028,91.18609556351967,929.0574569516481,9.949169782772962,61.41543406265219,-93,0,Critical
SENSOR-0090,2024-04-18 04:05:00,Factory A,55.029259477058545,68.40199900529959,1092.2766971463852,7.698647425684845,18.585361382399647,-92,2,Critical
SENSOR-0040,2024-08-03 23:22:00,Factory A,-9.096057214023812,67.12083073934272,985.7527931388961,5.76981576472503,47.58323372125021,-42,0,Warning
SENSOR-0015,2024-06-08 02:42:00,Factory A,47.486611417144545,61.69134770780013,955.756022908606,8.980812544166252,48.62894422692623,-58,3,Normal
SENSOR-0051,2024-05-10 03:57:00,Lab,71.05195068710509,21.16643565965763,1058.423883119738,4.258980865713006,40.79934821481005,-43,3,Critical
SENSOR-0073,2024-12-14 20:59:00,Factory B,15.66024036370315,48.40111682761285,1086.0911535851506,2.6227907989808683,43.92952524139122,-52,0,Warning
SENSOR-0016,2024-01-26 12:51:00,Lab,79.22637080881275,66.97590892026213,1041.9565196476417,0.5475629712943242,1.4396556038612784,-85,2,Critical
SENSOR-0078,2024-04-26 19:13:00,Factory A,29.887053210858944,70.26829435392878,973.54629093587,7.149683550678846,8.597918854915921,-92,3,Critical
SENSOR-0083,2024-01-02 02:30:00,Factory B,36.01642787192591,78.77365098564454,1013.9945650567093,2.630299539590931,4.099837249205041,-94,3,Critical
SENSOR-0071,2024-09-13 20:01:00,Lab,61.95756405028904,91.06000204122569,1058.0135890343602,1.2476789833013802,37.3791255407814,-100,0,Critical
SENSOR-0014,2024-07-31 13:06:00,Factory A,28.666814515993934,49.157965610247835,1062.0046680272685,5.749401125575079,97.53936034275151,-71,0,Warning
SENSOR-0048,2024-09-14 15:39:00,Lab,38.86440761103611,83.88349259810028,1019.8750356120316,7.242802748413143,40.16014578851508,-88,0,Warning
SENSOR-0094,2024-03-28 10:29:00,Office,33.50785866383735,91.32435843639088,1012.2370329029147,8.968637916512678,22.497026958400113,-58,0,Normal
SENSOR-0095,2024-03-24 11:02:00,Factory A,45.53382994103013,73.87424423923846,933.4405288129207,6.362471793341364,39.990525950960354,-32,2,Critical
SENSOR-0048,2024-12-17 14:47:00,Warehouse,59.06971552463409,68.11082073821562,974.0125167533947,8.818138321753652,36.752569833593185,-71,0,Warning
SENSOR-0015,2024-11-21 02:02:00,Factory A,75.76856479859075,89.0307867059116,1087.1658037532175,1.9695073530181662,42.8455605989424,-57,0,Warning
SENSOR-0082,2024-01-23 00:06:00,Warehouse,12.326690471770299,33.1980188634737,1069.9492192852993,3.3220093019511365,31.555263288387113,-93,0,Warning
SENSOR-0060,2024-11-04 05:20:00,Warehouse,56.52903812408101,46.11008711208026,933.2399389195809,6.839256356087792,22.80195590293538,-36,3,Normal
SENSOR-0010,2024-02-06 01:47:00,Factory A,45.26780830394383,69.91705048248147,934.8891536055277,7.6588285896570145,99.52804085876508,-98,3,Warning
