flight_id,flight_date,airline,origin,destination,scheduled_departure,actual_departure,delay_minutes,distance_km,aircraft_type,passengers,is_delayed,delay_reason,ticket_price
FL-000000,2023-09-08,Vistara,DEL,BLR,08:54,12:21,35.0,2610,A321,232,1.0,Weather,16494
FL-000001,2022-03-24,IndiGo,BLR,BOM,15:42,03:32,55.0,1220,B787,222,0.0,ATC,6821
FL-000002,2022-05-19,SpiceJet,BLR,BLR,00:49,00:22,65.0,578,A320,66,1.0,Weather,14201
FL-000003,2024-01-19,IndiGo,BOM,BOM,13:33,14:58,62.0,1877,B737,272,0.0,Weather,16425
FL-000004,2023-02-26,IndiGo,CCU,HYD,05:57,,95.0,1392,A320,293,1.0,Crew,5175
FL-000005,2022-01-14,SpiceJet,DEL,BOM,13:55,18:51,-10.0,905,B737,198,1.0,Crew,4674
FL-000006,2023-01-15,IndiGo,BLR,HYD,21:17,04:29,76.0,2821,A320,258,1.0,ATC,14360
FL-000007,2023-09-30,Vistara,BOM,HYD,12:49,07:10,71.0,2566,A321,74,1.0,Crew,4827
FL-000008,2022-01-15,SpiceJet,DEL,DEL,00:34,21:34,266.0,297,B737,137,0.0,Crew,6420
FL-000009,2022-04-24,SpiceJet,,BLR,11:34,18:03,88.0,733,B787,153,0.0,Crew,11599
FL-000010,2023-12-09,GoAir,MAA,DEL,14:38,01:25,259.0,1720,B787,101,1.0,ATC,12052
FL-000011,2023-08-02,Vistara,CCU,CCU,22:58,04:31,295.0,482,A320,60,0.0,None,13218
FL-000012,2022-07-23,Air India,MAA,BLR,23:03,14:56,40.0,500,A321,170,0.0,None,7709
FL-000013,2022-11-21,GoAir,BLR,HYD,11:38,12:18,20.0,2316,B787,62,1.0,Weather,17403
FL-000014,2022-01-31,Vistara,HYD,BLR,23:46,03:06,37.0,1331,B787,215,1.0,Crew,8800
FL-000015,2022-11-18,IndiGo,BOM,BOM,03:58,15:38,296.0,1783,B737,259,0.0,Weather,4487
FL-000016,2022-02-02,Air India,MAA,MAA,18:28,17:25,45.0,881,B737,169,0.0,None,4154
FL-000017,2023-05-14,IndiGo,CCU,BLR,02:54,,290.0,1886,B787,272,0.0,Crew,2598
FL-000018,2022-07-21,SpiceJet,CCU,BOM,06:19,13:58,65.0,206,B787,103,0.0,Technical,19412
FL-000019,2022-12-31,Air India,BOM,HYD,22:17,14:00,36.0,2168,B787,81,1.0,None,5566
FL-000020,2023-06-01,GoAir,HYD,DEL,06:21,15:06,-8.0,1094,B737,191,1.0,Weather,19060
FL-000021,2023-09-14,GoAir,BLR,CCU,03:34,02:26,255.0,1123,B787,168,0.0,Weather,10883
FL-000022,2022-08-29,Vistara,BOM,CCU,15:05,08:08,35.0,319,A321,206,1.0,Crew,16627
FL-000023,2023-01-20,SpiceJet,CCU,BOM,14:18,09:31,106.0,2414,B737,199,1.0,,13561
FL-000024,2023-08-30,GoAir,BOM,BLR,00:21,06:46,40.0,1980,B737,161,1.0,Crew,16227
FL-000025,2024-03-07,GoAir,HYD,BOM,02:41,02:11,118.0,1148,A321,122,1.0,Weather,15636
FL-000026,2022-10-09,GoAir,BOM,HYD,01:26,16:34,216.0,2852,A320,195,0.0,None,5272
FL-000027,2022-08-02,GoAir,BLR,BOM,05:26,10:21,201.0,2185,A320,240,0.0,None,17321
FL-000028,2022-01-26,IndiGo,MAA,MAA,01:14,22:10,189.0,343,A321,273,0.0,,17418
FL-000029,2023-11-01,GoAir,CCU,DEL,05:06,15:20,,2489,A321,222,1.0,ATC,16671
FL-000030,2024-02-25,SpiceJet,BLR,BOM,04:43,13:10,89.0,616,B737,118,0.0,ATC,18337
FL-000031,2022-07-03,SpiceJet,BLR,BOM,00:41,22:17,142.0,2331,B787,104,1.0,Technical,10919
FL-000032,2023-11-04,Air India,HYD,BOM,20:54,18:23,2960.0,436,A321,207,1.0,None,9851
FL-000033,2024-01-28,Air India,DEL,BLR,04:25,,198.0,356,A321,226,0.0,None,7912
FL-000034,2022-02-12, SpiceJet ,MAA,CCU,23:13,11:13,295.0,700,B787,53,0.0,ATC,14905
FL-000035,2022-02-06,Air India,HYD,CCU,07:26,03:48,172.0,610,A321,80,1.0,Technical,2987
FL-000036,2022-05-25,Vistara,DEL,BOM,08:48,07:14,251.0,2585,B737,276,1.0,Weather,16099
FL-000037,2023-06-24,GoAir,HYD,MAA,09:19,01:29,185.0,1987,B737,89,1.0,Weather,2294
FL-000038,2024-01-07,SpiceJet,HYD,BOM,10:27,17:57,10.0,1639,A320,72,1.0,Weather,13884
FL-000039,2022-06-08,IndiGo,BOM,CCU,00:20,02:46,220.0,749,A320,74,0.0,,17496
FL-000040,2024-02-27,SpiceJet,CCU,HYD,21:23,17:40,245.0,1689,A321,162,0.0,None,6548
FL-000041,2022-03-03,SpiceJet,CCU,BLR,04:39,17:24,3.0,1308,B737,160,1.0,Weather,19383
FL-000042,2022-09-07,IndiGo,CCU,BOM,20:10,01:38,138.0,1226,B787,115,0.0,Weather,19959
FL-000043,2022-07-07,Vistara,BOM,CCU,17:54,14:29,187.0,432,A320,265,0.0,Technical,18773
FL-000044,2024-02-18,Vistara,CCU,MAA,09:39,10:39,286.0,471,B737,274,1.0,Technical,12064
FL-000045,2022-04-20,SpiceJet,BLR,CCU,17:12,23:15,242.0,495,B737,83,0.0,Weather,12996
FL-000046,2023-12-06,SpiceJet,MAA,HYD,07:31,01:18,60.0,1636,B787,285,0.0,Technical,16273
FL-000047,2023-03-07,IndiGo,MAA,HYD,07:03,23:43,5.0,1037,B787,134,1.0,ATC,4786
FL-000048,2022-10-25,Vistara,,BLR,07:28,03:49,162.0,886,A321,292,1.0,Crew,17318
FL-000049,2022-01-22,SpiceJet,BOM,BOM,09:14,01:36,70.0,2958,A321,144,0.0,Crew,15822
FL-000050,2023-10-28,IndiGo,BLR,MAA,01:51,16:07,39.0,516,A320,54,0.0,None,16412
FL-000051,2022-06-11,GoAir,MAA,BLR,00:35,23:10,71.0,646,A320,201,1.0,Technical,8340
FL-000052,2023-09-02,SpiceJet,BLR,BLR,05:18,09:58,196.0,2540,A321,153,1.0,ATC,9267
FL-000053,2023-02-23,GoAir,BOM,CCU,23:02,05:56,244.0,367,A321,117,0.0,Crew,16284
FL-000054,2023-06-28,GoAir,HYD,BOM,20:42,15:26,32.0,1466,B787,265,1.0,Crew,10894
FL-000055,2023-03-29,Air India,CCU,DEL,19:09,23:27,3.0,2122,A320,128,1.0,Weather,19777
FL-000056,2022-05-13,GoAir,MAA,CCU,19:28,00:06,40.0,2324,B737,69,0.0,ATC,19118
FL-000057,2022-05-14,GoAir,BLR,CCU,08:38,04:10,206.0,628,B737,180,1.0,Crew,17023
FL-000058,2022-10-30,Air India,BOM,CCU,06:56,11:27,288.0,1713,B787,207,1.0,None,8377
FL-000059,2024-01-07,SpiceJet,DEL,CCU,22:28,,131.0,1753,A321,141,0.0,Weather,2663
FL-000060,2022-05-22,Air India,MAA,MAA,17:29,06:07,156.0,426,B787,84,0.0,None,18814
FL-000061,2022-10-15,IndiGo,MAA,BOM,10:42,09:09,-5.0,1398,A320,277,0.0,None,5663
FL-000062,2023-09-12,SpiceJet,HYD,BLR,02:30,20:01,216.0,593,A320,206,1.0,None,17784
FL-000063,2024-02-22,Vistara,BLR,CCU,21:40,15:04,58.0,1660,A320,86,0.0,Technical,13737
FL-000064,2023-02-08,IndiGo,HYD,DEL,14:52,18:21,276.0,717,B737,169,0.0,Technical,17621
FL-000065,2023-02-24,IndiGo,MAA,HYD,17:35,,155.0,2032,A320,94,0.0,Crew,19325
FL-000066,2022-07-23,SpiceJet,BLR,HYD,18:41,06:49,70.0,1056,A320,205,1.0,Crew,2467
FL-000067,2022-06-25,GoAir,MAA,HYD,13:37,11:12,-6.0,1547,B787,76,1.0,None,8977
FL-000068,2022-05-24,GoAir,MAA,MAA,19:42,01:17,64.0,2085,B737,228,1.0,Weather,19892
FL-000069,2023-10-07,SpiceJet,BOM,DEL,03:37,12:12,0.0,331,B737,149,1.0,Technical,15336
FL-000070,2022-11-12,IndiGo,MAA,DEL,08:11,17:34,220.0,1137,B787,112,0.0,ATC,4899
FL-000071,2022-04-26,IndiGo,BLR,BLR,00:40,23:19,224.0,628,A321,169,0.0,None,2325
FL-000072,2023-02-18,Air India,BOM,DEL,02:08,08:18,,1089,B787,195,1.0,ATC,2850
FL-000073,2022-12-14,SpiceJet,DEL,HYD,11:44,09:14,294.0,1988,A320,185,1.0,ATC,14095
FL-000074,2024-01-11,GoAir,BLR,HYD,08:07,08:19,44.0,1099,B787,145,0.0,ATC,13015
FL-000075,2023-06-19,GoAir,CCU,BOM,06:45,15:33,77.0,2727,A320,244,,Crew,19107
FL-000076,2022-12-22,GoAir,,CCU,10:09,17:49,282.0,421,B737,229,1.0,None,15324
FL-000077,2023-06-22,Air India,CCU,HYD,12:24,00:42,118.0,314,B787,112,1.0,None,14180
FL-000078,2023-03-01,GoAir,HYD,CCU,19:03,08:45,263.0,1017,A321,208,1.0,Crew,10275
FL-000079,2022-07-20,SpiceJet,BLR,DEL,19:24,03:47,96.0,1963,A320,285,0.0,Crew,7625
FL-000080,2023-09-20,Air India,MAA,CCU,08:32,21:28,274.0,261,B787,272,0.0,None,3732
FL-000081,2023-01-23,Vistara,HYD,MAA,06:20,08:40,297.0,2991,B737,252,1.0,ATC,11423
