sku,product_name,category,warehouse,stock_date,stock_qty,reorder_point,incoming_qty,outgoing_qty,unit_cost,stock_value,days_since_last_stock,is_low_stock,supplier
SKU-00269,Product_407,Grocery,WH-Delhi,2023-04-07,555,11,122.0,6,2919.0,41488,59,0,Supplier_35
SKU-01894,Product_314,Apparel,WH-Delhi,2023-03-15,229,73,210.0,416,3982.0,34437,66,0,Supplier_23
SKU-01794,Product_194,Books,WH-Delhi,2023-10-04,505,47,136.0,9,4397.0,306626,4,0,Supplier_68
SKU-01697,Product_9,Books,WH-Mumbai,2023-02-27,664,10,275.0,171,4084.0,451891,80,0,Supplier_48
SKU-01151,Product_387,Apparel,WH-Chennai,2023-01-07,306,21,267.0,212,1450.0,183756,72,1,Supplier_84
SKU-00325,Product_93,Apparel,WH-Chennai,2023-07-25,174,91,110.0,155,3319.0,282763,12,1,Supplier_97
SKU-00510,Product_53,Home,WH-Mumbai,2023-08-04,376,91,431.0,157,1803.0,129407,3,0,Supplier_2
SKU-01663,Product_115,Apparel,WH-Mumbai,2023-06-20,96,41,177.0,337,2493.0,155810,67,0,Supplier_70
SKU-01609,Product_451,Books,WH-Mumbai,2023-12-24,118,79,250.0,45,2015.0,8199,62,0,Supplier_25
SKU-00175,Product_474,Apparel,WH-Chennai,2023-03-11,174,88,476.0,112,3855.0,111676,55,1,Supplier_91
SKU-01637,Product_154,Apparel,WH-Bangalore,2023-11-15,429,39,314.0,91,2723.0,144754,37,1,Supplier_39
SKU-00987,Product_60,Books,WH-Mumbai,2023-08-16,347,47,299.0,101,3269.0,362144,67,1,Supplier_99
SKU-01755,Product_77,Electronics,WH-Bangalore,2023-05-26,211,16,112.0,243,1232.0,193093,40,0,Supplier_36
SKU-01090,Product_366,Books,WH-Bangalore,2024-01-23,42,96,311.0,363,921.0,474408,49,1,
SKU-00267,Product_135,Home,WH-Delhi,2023-06-22,209,24,357.0,88,4046.0,101895,28,0,Supplier_91
SKU-00555,Product_404,Electronics,WH-Chennai,2023-11-12,462,18,291.0,168,648.0,262546,33,1,Supplier_79
SKU-00895,Product_490,Grocery,WH-Mumbai,2023-07-25,144,13,186.0,72,1128.0,437337,57,0,Supplier_11
SKU-01762,Product_55,Grocery,WH-Chennai,2023-03-31,244,26,477.0,271,3789.0,239249,63,0,Supplier_3
SKU-00250,Product_43,Grocery,WH-Delhi,2023-12-25,142,58,224.0,231,807.0,107448,63,0,Supplier_19
SKU-00681,Product_137,Electronics,WH-Mumbai,2023-03-18,358,96,325.0,484,209.0,163939,7,0,Supplier_68
SKU-00814,Product_389,Grocery,WH-Mumbai,2023-08-06,589,16,,162,4895.0,252511,13,0,Supplier_46
SKU-01031,Product_82,Books,WH-Delhi,2023-01-04,510,13,281.0,163,2240.0,361539,25,1,Supplier_10
SKU-00194,Product_182,Home,WH-Mumbai,2023-12-15,550,21,261.0,277,3195.0,411051,66,1,Supplier_82
SKU-01009,Product_250,Grocery,WH-Mumbai,,322,37,275.0,370,3666.0,437854,68,0,Supplier_55
SKU-00217,Product_494,Grocery,WH-Bangalore,2023-11-16,444,15,203.0,12,4508.0,295649,0,1,Supplier_22
SKU-00747,Product_394,Apparel,WH-Bangalore,2023-02-14,398,67,78.0,441,481.0,133344,19,1,Supplier_66
SKU-00750,Product_154,Apparel,WH-Mumbai,2023-04-30,856,21,329.0,252,1840.0,401681,14,1,Supplier_22
