ticket_id,created_date,customer_id,priority,category,channel,agent_id,response_time_hours,resolution_time_hours,customer_satisfaction,is_escalated,is_resolved,reopen_count
TKT-0000000,2023-08-12 16:00:00,CUST-01455,Low,Billing,Phone,AGENT-056,35.931937206538336,64.77690153115037,5,1,1.0,4
TKT-0000001,2024-04-16 06:00:00,CUST-01869,High,Billing,Email,AGENT-090,39.81522451883963,157.4944573283582,5,0,1.0,2
TKT-0000002,2023-09-12 05:00:00,CUST-02671,Medium,Billing,Phone,AGENT-016,1.7315878589245415,127.90325610949665,1,5,0.0,2
TKT-0000003,2023-05-18 15:00:00,CUST-02545,Critical,Technical,Email,AGENT-037,13.085063297404144,153.48153636426323,2,0,1.0,2
TKT-0000004,2024-05-10 06:00:00,CUST-01394,Critical,Billing,Email,AGENT-099,25.034177413904573,137.94903592717168,5,0,1.0,3
TKT-0000005,2024-04-21 15:00:00,CUST-02619,High,Feature Request,Email,AGENT-049,16.634233529818545,129.70570979662085,2,0,1.0,4
TKT-0000006,2024-04-20 15:00:00,CUST-02139,High,Bug,Email,AGENT-001,41.38765594536131,30.271257570148617,1,1,0.0,2
TKT-0000007,2023-10-13 17:00:00,CUST-02903,,Billing,Chat,AGENT-050,18.259744905900437,37.43593045466747,3,1,0.0,2
TKT-0000008,2023-07-11 19:00:00,CUST-01665,High,Feature Request,Phone,AGENT-047,4.0126183858125035,144.8867324389932,3,0,1.0,4
TKT-0000009,2023-05-05 22:00:00,CUST-00677,Critical,Account,Social,AGENT-098,31.220660141067675,102.72330752397058,4,1,1.0,2
TKT-0000010,2023-11-08 13:00:00,CUST-02123,Low,Account,Email,AGENT-073,29.77327271773339,141.09722626172993,5,1,1.0,0
TKT-0000011,2023-02-08 04:00:00,CUST-02549,Low,Bug,Social,AGENT-043,0.6431039694015226,97.79826902757978,4,0,0.0,3
TKT-0000012,2023-04-16 17:00:00,CUST-01284,High,Billing,Social,AGENT-064,0.21311663999346564,147.05225357838793,1,1,1.0,1
TKT-0000013,2023-05-09 10:00:00,CUST-01684,Low,Technical,Social,AGENT-069,22.771810517941816,6.372754661283093,2,0,1.0,0
TKT-0000014,2023-02-08 05:00:00,CUST-00743,Medium,Feature Request,Social,AGENT-014,9.597214872287205,25.730548240162566,3,0,1.0,3
