trade_id,trade_date,trader_id,asset,symbol,trade_type,quantity,price,total_value,fees,profit_loss,leverage,risk_score
TRADE-00000000,2021-01-09,TRADER-0129,Bond,OIL,Buy,251.40442325429237,21069.6196485794,353606.2027997055,117.13467439224368,11741.085623751333,5,8.287931485182478
TRADE-00000001,2023-03-22,TRADER-0143,Commodity,AAPL,Sell,384.50167119096966,37087.705948450304,876652.628425125,549.5638111457423,41343.67989595893,1,4.461776699401919
TRADE-00000002,2021-09-28,TRADER-0120,,GOOGL,Buy,256.0713321234995,26428.506541209914,315061.8508869535,666.6558010104654,7011.996606358483,20,3.055415439295929
TRADE-00000003,2023-04-17,TRADER-0192,Commodity,BTC,Buy,694.3310321632825,29970.708575786568,927280.6397688781,323.69505158216236,2896.3354827426447,1,9.955601454675087
TRADE-00000004,2023-03-30,TRADER-0053,Commodity,BTC,Sell,244.2437759352838,49318.03458247471,334915.9129607894,191.2918543834581,30530.333199076173,10,5.9242052158298435
TRADE-00000005,2022-09-16,TRADER-0006,Crypto,GOLD,Sell,958.2641480765107,18320.5485400823,22906.97487729989,394.583800880847,10383.83563349564,2,6.7827004275306955
TRADE-00000006,2020-11-28,TRADER-0174,Forex,GOLD,Buy,118.75204599291898,38591.17982366952,356461.33380368305,724.3385776692841,19281.124842822584,2,3.3305028345700887
TRADE-00000007,2021-06-22,TRADER-0066,Commodity,GOLD,Buy,470.27722808578807,15670.804246614216,621111.0594064663,369.2210719147,9769.689308069053,10,94.50583172296903
TRADE-00000008,2021-05-11,TRADER-0163,Forex,OIL,Sell,692.5573907070416,16746.087371570335,389130.03917881113,161.0246765100678,1475.7449265536634,10,2.5879817516691412
TRADE-00000009,2023-05-21,TRADER-0073,Commodity,OIL,Sell,942.2630255242854,42817.321417099,406265.88296237506,661.2632775054968,22726.0216117963,1,1.9698854380567408
TRADE-00000010,2021-11-13,TRADER-0118,Crypto,BTC,Sell,823.93492250446,18285.923881969768,330481.56916783744,657.5597992687843,29533.423777784286,10,8.675584028955788
TRADE-00000011,2022-02-08,TRADER-0001,Crypto,BTC,Sell,72.4300307705941,24624.41876573787,172339.75405871862,80.99923053568814,42214.07333004278,10,8.375931163090177
TRADE-00000012,2023-03-14,TRADER-0068,Crypto,GOOGL,Sell,544.0681514715694,43542.254736485374,649384.1859895453,571.6273269265154,25942.928049494578,5,1.4439819686088469
TRADE-00000013,2021-09-14,TRADER-0065,Crypto,GOOGL,Sell,671.828695758373,3907.1218721005002,65820.72477758801,852.3523868405504,-6766.581793329289,10,7.63258377764461
TRADE-00000014,2022-10-04,TRADER-0018,Crypto,GOOGL,Sell,39.657787702402004,48916.66222060839,351573.5486861272,655.3656793646309,16273.408525255702,2,5.175938703900641
TRADE-00000015,2022-06-27,TRADER-0042,Bond,GOLD,Sell,982.1562981472356,34675.6902133278,498304.67618225055,685.8089044385666,30240.49209617656,2,3.806292626822274
TRADE-00000016,2022-10-16,TRADER-0056,Stock,GOOGL,Buy,427.48726804786384,9655.423473104865,936411.595463628,160.90878232542616,41675.17087003735,1,1.056068453324356
TRADE-00000017,2020-02-25,TRADER-0138,Stock,AAPL,Buy,183.16212962777377,862.028892247506,41174.17517118762,193.0884256771117,25620.12223973209,10,8.186634988004709
TRADE-00000018,2021-07-23,TRADER-0002,Commodity,ETH,Sell,483.60265977048044,7357.505153260392,976152.1859206639,42.0729340382906,35226.14575331125,2,7.142806547212916
TRADE-00000019,2020-12-07,TRADER-0076,,GOLD,Buy,219.47935743688805,38925.79976783935,490694.8040721542,539.8790993972489,13649.842989386922,1,2.0308121598996944
TRADE-00000020,2023-07-29,TRADER-0075,Bond,AAPL,Buy,231.54248724637117,16224.58880764244,833246.2552231868,152.9585648773326,16209.589378918987,10,1.242988008474276
TRADE-00000021,2023-04-24,TRADER-0146,Forex,GOLD,Sell,339.8262199337758,3184.0793998020863,624128.8223728794,274.93595824641113,-8920.093293331618,2,3.0062907904788285
TRADE-00000022,2021-06-19,TRADER-0058,Forex,GOOGL,Sell,806.3907807449534,20041.97435244595,228874.9388549204,751.7420171836475,26938.300417487357,20,2.0692416848691497
TRADE-00000023,2023-09-03,TRADER-0038,Forex,ETH,Sell,763.3339958461336,27239.471697790428,629339.2772477973,841.0018992868445,18314.25692327051,10,1.5584370081487458
TRADE-00000024,2021-08-12,TRADER-0182,Crypto,ETH,Sell,207.02436796183682,26798.49939702932,535834.0824564432,400.989833915652,-7356.03449367987,1,8.365946761144295
TRADE-00000025,2020-11-13,TRADER-0083,Stock,GOLD,Sell,559.7885556178726,36353.995603454176,294054.927590132,346.3374033554507,40252.63586703247,1,6.067987613391809
TRADE-00000026,2022-05-31,TRADER-0135,Forex,BTC,,571.2791552352036,16458.599692917684,721095.1219857062,713.4718263577598,41791.291349346524,2,5.012735095797595
TRADE-00000027,2023-12-05,TRADER-0170,Commodity,AAPL,Sell,517.1631452773232,26878.185582015718,276776.4937854892,314.70745252046703,2948.486039030875,5,7.3841945875469435
TRADE-00000028,2022-06-13,TRADER-0107,Stock,GOLD,Sell,670.0730310986621,8514.365821091793,726161.9407311012,833.2420719390249,43118.13180938073,10,3.1092799106996134
TRADE-00000029,2022-12-19,TRADER-0040,Crypto,GOLD,Buy,152.91494289078423,18874.549269261515,299483.9049272532,380.5978274483818,7535.691062614926,1,3.172376030347927
TRADE-00000030,2023-07-09,TRADER-0091,Crypto,GOLD,Buy,158.32284916492193,29678.53660257705,273481.6202777952,31.545607119772278,46995.258668776194,20,2.02741249511475
TRADE-00000031,2021-02-24,TRADER-0190,,GOLD,Sell,616.3299126740325,42849.961783358434,471790.95012704097,483.7973252926021,-1852.5562750370455,10,3.6790898822761644
TRADE-00000032,2020-07-09,TRADER-0066,Bond,AAPL,Sell,715.4073360765522,36471.914942189454,99152.98540538194,489.219818586376,7288.928345968507,5,5.362023754071019
TRADE-00000033,2023-09-20,TRADER-0002,Commodity,OIL,Sell,316.3612050291328,31442.770969538473,289353.6823180597,661.8071300302925,-3120.6193028128837,20,6.823933644165629
TRADE-00000034,2023-06-01,TRADER-0055,Crypto,,Buy,458.3548390904861,14240.280299624714,432747.0079188855,438.221481746112,-2922.6607852698553,2,3.3139110575728403
TRADE-00000035,2022-06-17,TRADER-0153,Bond,GOOGL,Buy,662.7634163105579,26121.06343613166,184915.3295602967,607.9426157437913,21991.23326977,5,1.7290224997235488
TRADE-00000036,2023-10-20,TRADER-0184,Commodity,ETH,Buy,956.2233710812319,49396.57803463805,724231.1762753747,946.1785304624153,-6305.811589584858,1,5.592394214165959
TRADE-00000037,2020-01-13,TRADER-0079,Stock,GOLD,Sell,470.1377653970979,18393.889990273226,523752.0065615956,671.936066084241,48621.49502071503,10,1.2882873552508354
TRADE-00000038,2023-03-20,TRADER-0055,Crypto,BTC,Sell,157.40116228712216,1114.54925708575,222168.51295092376,549.9848383178189,25435.606401246136,10,3.04714902162518
TRADE-00000039,2022-11-05,TRADER-0051,Commodity,GOLD,Sell,909.8839522162667,39074.653363446705,984249.1800141068,940.5624098928711,9411.227178689773,5,1.9051307775950277
TRADE-00000040,2021-11-09,TRADER-0031,Commodity,OIL,Sell,37.35050668141407,34584.12151279029,455850.43911347206,861.6850882002236,40689.90356321048,10,5.879103948308392
TRADE-00000041,2023-12-29,TRADER-0126,,,Sell,347.88159400320365,36573.268703891794,572182.1078984521,472.11738216759056,2812.4464593601624,20,2.409457829434105
TRADE-00000042,2020-11-22,TRADER-0048,Crypto,GOOGL,Buy,22.282110487803372,21772.06124011398,369487.8959536619,415.7559339161606,38425.03366381868,10,5.796565131505451
TRADE-00000043,2020-04-24,TRADER-0146,Stock,ETH,Sell,381.70571831437877,94.26806202516272,384101.90600717533,84.83607277870753,38628.751193365824,5,6.402798642391692
TRADE-00000044,2021-12-14,TRADER-0135,Stock,GOOGL,Buy,264.66928032069444,6717.0955171928945,867316.3668556787,589.9328400233604,33449.10621857317,1,4.745367708480909
TRADE-00000045,2021-02-05,TRADER-0010,Forex,ETH,,187.20433884382123,12445.383903950522,372357.6114450419,275.7074233052703,33735.115018655895,5,7.705768765109394
