return_id,order_id,return_date,customer_id,product_id,category,return_reason,refund_amount,return_shipping_cost,days_to_return,is_fraudulent,customer_rating_after_return
RET-000000,ORD-005290,2023-06-24,CUST-00070,PROD-0114,Beauty,Wrong Item,1110.5394382578,17.585381592590497,14,1,1.0
RET-000001,ORD-006874,2023-05-08,CUST-00991,PROD-0188,Beauty,Defective,54.39155902060153,33.272024910751085,13,0,5.0
RET-000002,ORD-000881,,CUST-00764,PROD-0075,Beauty,Size Issue,1788.9541697527452,76.25566181504959,12,0,1.0
RET-000003,ORD-000827,2023-07-08,CUST-00586,PROD-0417,Home,Defective,955.8957152487545,20.437948183723964,10,1,4.0
RET-000004,ORD-008031,2022-10-06,CUST-01420,PROD-0263,Electronics,Wrong Item,1172.5039590757635,99.15139845756336,7,0,2.0
RET-000005,ORD-009156,2024-02-08,CUST-00241,PROD-0191,Clothing,Defective,1520.4712731585187,70.08413801123324,19,0,5.0
RET-000006,ORD-001823,2023-08-23,CUST-00819,PROD-0397,Home,Changed Mind,1576.7421226535266,84.01845533516031,15,1,4.0
RET-000007,ORD-007945,2023-09-16,CUST-01732,PROD-0145,Clothing,Size Issue,1475.3422631004923,86.62335323198774,23,0,3.0
RET-000008,ORD-009998,2023-01-02,CUST-01111,PROD-0263,Electronics,Size Issue,486.7672007904841,22.790479874768355,22,0,2.0
RET-000009,ORD-007005,2024-03-31,CUST-00278,PROD-0401,Clothing,Wrong Item,115.56498705289175,21.36090697830627,9,1,5.0
RET-000010,,2022-08-31,CUST-00245,PROD-0491,Clothing,Not as Described,1082.6012845177513,39.646147617943896,6,0,2.0
RET-000011,ORD-000557,2023-05-24,CUST-01352,PROD-0397,Electronics,Defective,681.6638748660677,21.15952737790434,6,0,1.0
RET-000012,ORD-008951,2024-04-05,CUST-01459,PROD-0100,Clothing,Changed Mind,1238.2677920547499,48.36586986027201,21,0,1.0
RET-000013,ORD-002516,2022-12-26,CUST-00889,PROD-0172,Clothing,Defective,1319.5856032131323,64.84828386994121,2,0,5.0
RET-000014,ORD-006743,2024-02-23,CUST-01761,PROD-0046,Electronics,Wrong Item,1723.0335798017975,9.512709968563705,25,0,5.0
RET-000015,ORD-006089,2023-11-23,CUST-01338,PROD-0438,Home,Defective,1061.0817287863292,77.08002559496802,7,0,5.0
RET-000016,ORD-003709,2023-10-03,CUST-00619,PROD-0079,Beauty,Defective,1984.1803965352508,95.56189646454794,20,0,1.0
RET-000017,ORD-006587,2023-08-01,CUST-00144,PROD-0399,Beauty,Wrong Item,1447.3195146714077,77.18722268334088,23,1,4.0
RET-000018,ORD-009432,2024-02-09,CUST-00604,PROD-0173,Home,Wrong Item,1163.9166632252643,30.999805036689377,17,0,3.0
RET-000019,ORD-002110,2023-02-15,CUST-01107,PROD-0213,Home,Size Issue,1277.149389271009,85.56280840584111,15,0,3.0
RET-000020,ORD-004259,,CUST-01056,PROD-0499,Beauty,Size Issue,1746.3549554931917,58.80774269102492,8,1,4.0
RET-000021,,2023-07-01,CUST-01748,PROD-0229,Electronics,Size Issue,244.6314088066428,35.8563806239422,13,0,4.0
RET-000022,ORD-006925,2023-06-29,CUST-01623,PROD-0426,Beauty,Wrong Item,1060.2042846514646,48.55701728669056,15,0,1.0
RET-000023,ORD-008328,2024-04-08,CUST-01095,PROD-0328,Electronics,Defective,1386.4866764351075,88.08483216207217,9,0,5.0
RET-000024,ORD-003152,2023-02-24,CUST-00795,PROD-0093,Home,Wrong Item,1610.3947691663507,64.65609984053778,27,0,4.0
RET-000025,ORD-006656,2024-01-03,CUST-00910,PROD-0388,Home,Size Issue,1025.6311426526856,38.34614371514815,2,0,4.0
RET-000026,ORD-003295,2024-02-17,CUST-00879,PROD-0161,Clothing,Size Issue,371.63837839975207,52.52783281443892,19,0,5.0
RET-000027,ORD-000843,2022-07-25,CUST-01752,PROD-0085,Home,Size Issue,372.3555149812638,33.09634635846741,21,0,1.0
RET-000028,ORD-004010,2022-07-16,CUST-01876,PROD-0364,Clothing,Not as Described,1267.181579572442,76.45865095475928,17,0,3.0
RET-000029,ORD-001877,2022-12-06,CUST-01929,PROD-0011,Clothing,Wrong Item,1457.314819153806,9.430068445951022,2,0,3.0
RET-000030,ORD-004853,2022-11-08,CUST-01153,PROD-0144,Home,Defective,69.08855194300034,35.28004490710901,12,0,2.0
RET-000031,ORD-004816,2023-06-02,CUST-00609,PROD-0347,Clothing,Changed Mind,1597.5676660854526,78.08782341840835,17,1,2.0
RET-000032,ORD-009296,2022-11-09,CUST-00039,PROD-0111,Home,Changed Mind,1987.2883671655259,61.29763924825426,4,0,1.0
RET-000033,ORD-002727,2024-01-29,CUST-01747,PROD-0304,Beauty,Changed Mind,633.8383392778993,51.898207896180736,11,1,4.0
RET-000034,ORD-006172,2022-06-15,CUST-00976,PROD-0403,Electronics,Wrong Item,1409.1192348829784,51.679602131739834,18,0,4.0
RET-000035,ORD-002507,2023-10-11,CUST-00312,PROD-0261,Electronics,Not as Described,539.6039718305296,7.916976466468261,29,1,3.0
RET-000036,ORD-006835,2024-03-20,CUST-00209,PROD-0205,Home,Wrong Item,1833.7673030814167,72.47932026282915,23,0,1.0
RET-000037,ORD-005759,2023-01-05,CUST-00604,PROD-0316,Electronics,Not as Described,1568.2607604125674,59.70791649551631,2,1,1.0
RET-000038,ORD-006999,2023-06-12,CUST-01522,PROD-0174,Beauty,Size Issue,576.9380613587842,27.463995096470217,12,0,2.0
