order_id,customer_id,order_date,product,category,region,quantity,price,discount_pct,revenue,profit,customer_age,payment_method,shipping_status
ORD-000001,CUST-00457,2023-07-19 18:00:00,Watch S,Wearables,East,3,546,0,1638.0,694.2,22.0,Net Banking,Delivered
ORD-000002,CUST-00103,2023-10-28 07:00:00,Tablet A,Electronics,Central,4,1495,5,5681.0,2057.0,34.0,PayPal,Delivered
ORD-000003,CUST-01127,2023-12-03 07:00:00,Headphones Z,Accessories,North,1,1529,20,1223.2,320.8,26.0,UPI,Delivered
ORD-000004,CUST-01004,2024-01-06 07:00:00,Tablet A,Electronics,West,3,1487,25,3345.75,726.15,43.0,UPI,Shipped
ORD-000005,CUST-00915,2024-04-11 10:00:00,Keyboard K,Accessories,West,3,486,0,1458.0,544.2,30.0,PayPal,Shipped
ORD-000006,CUST-00572,2023-04-29 22:00:00,Keyboard K,Accessories,South,4,292,20,934.4,201.6,24.0,Credit Card,Delivered
ORD-000007,CUST-00420,2023-09-04 14:00:00,Speaker B,Accessories,West,1,1499,10,1349.1,430.7,65.0,UPI,Shipped
ORD-000008,CUST-02234,2024-02-24 11:00:00,Mouse M,Accessories,East,1,845,25,633.75,127.75,57.0,PayPal,Returned
ORD-000009,CUST-00357,2023-03-23 11:00:00,Keyboard K,Accessories,East,3,533,5,1519.05,613.65,35.0,PayPal,Delivered
ORD-000010,CUST-02419,2024-07-27 16:00:00,Keyboard K,Accessories,West,2,474,25,711.0,114.2,54.0,PayPal,Processing
ORD-000011,CUST-01729,2023-03-20 11:00:00,Watch S,Wearables,North,3,1484,20,3561.6,929.4,62.0,Net Banking,Processing
ORD-000012,CUST-00131,2024-10-31 15:00:00,Mouse M,Accessories,Central,3,817,0,2451.0,1007.4,41.0,UPI,Returned
ORD-000013,CUST-00123,2024-09-11 07:00:00,Mouse M,Accessories,South,3,1045,0,3135.0,1221.0,,UPI,Delivered
ORD-000014,CUST-00384,2024-04-04 13:00:00,Speaker B,Accessories,South,3,449,0,1347.0,514.8,24.0,UPI,Delivered
ORD-000015,CUST-00896,2023-08-24 18:00:00,Tablet A,Electronics,North,4,1501,5,5703.8,2101.4,37.0,UPI,Returned
