campaign_id,channel,date,impressions,clicks,conversions,spend,revenue,ctr,cpa,roas
CMP-0013,Instagram,2024-03-30,61009,925,47,4635.854089258442,21298.713905206143,1.516169745447393,98.6351933884775,4.5943451832439175
CMP-0044,Facebook,2023-09-07,23153,598,31,,11149.079433687022,2.582818641212802,95.72607258530697,3.757050863512871
CMP-0016,Google Ads,2023-05-19,33772,2306,161,2144.26662973772,15963.664943440437,6.828141655809547,13.318426271662856,7.444813402423309
CMP-0011,LinkedIn,2024-07-15,90620,5830,343,4156.572713174088,117511.96583662575,6.433458397704701,12.11828779351046,28.27136055245139
CMP-0004,Email,2023-03-25,21096,1650,111,4029.176812470677,30778.45826184847,7.821387940841866,36.29889020243853,7.638894914362229
CMP-0001,Email,2024-07-29,23532,475,55,4134.142668887573,13414.2167656539,2.0185279619241885,75.16623034341042,3.244739681241682
CMP-0033,YouTube,2024-04-17,49556,2233,247,4742.36636255835,64749.79578179227,4.506013398982969,19.19986381602571,13.653478207209172
CMP-0046,Google Ads,2023-07-24,27678,1978,111,4590.179627798173,23765.109717346924,7.1464701206734595,41.35296961980336,5.177381201690928
CMP-0020,Instagram,2023-11-15,45687,689,56,2055.2694597467967,9119.631283732906,1.5080876398100116,36.70124035262137,4.437194957811721
CMP-0034,Organic,2023-02-10,26484,372,50,4158.7194101298155,19663.52274287864,1.4046216583597644,83.1743882025963,4.728263872523402
CMP-0047,LinkedIn,2024-04-30,32840,2248,123,4033.353505899461,7073.4734353949025,6.84531059683313,32.7914919178818,1.7537449730227594
CMP-0013,YouTube,2024-05-28,19714,278,29,,12105.588876012715,1.4101653647154306,90.27246803036921,4.624157379107218
CMP-0045,Facebook,2023-10-25,13109,935,106,2220.638721950844,15532.807299305643,7.132504386299489,20.94942190519664,6.994747567789858
CMP-0023,Facebook,2024-02-06,75590,985,68,1231.0506962898492,14135.596549960901,1.3030824183093002,18.103686710144842,11.482546244897046
CMP-0021,Facebook,2023-11-20,50774,812,80,1804.654990588694,31386.82130041325,1.599243707409304,22.558187382358675,17.392145016136627
CMP-0038,LinkedIn,2024-07-18,99691,7683,374,4371.231494446618,171994.5405783835,7.706814055431282,11.687784744509674,39.346930217924175
CMP-0047,Instagram,2024-12-24,37039,2141,112,2357.131572617359,46230.1713456921,5.780393639137126,21.04581761265499,19.612893859106098
CMP-0026,Organic,2024-05-28,64620,3187,384,826.942045196127,166595.31198733277,4.93190962550294,2.153494909364914,201.4594770638626
CMP-0044,Facebook,2024-07-10,54871,2513,365,747.8567242055169,23541.33500748786,4.579832698511053,2.048922532069909,31.47840254093713
CMP-0037,Google Ads,2023-12-23,28492,861,124,3995.1692669866716,54460.29953617652,3.0219008844587956,32.219106991828,13.631537463556036
CMP-0003,Instagram,2023-06-10,40977,2820,133,4496.236768356788,66130.80748750888,6.881909363789443,33.80629149140442,14.708034940001012
CMP-0026,YouTube,2024-06-04,84348,3964,392,3284.8554080216945,139684.60636443825,4.699577939014558,8.379733183728813,42.523821908058764
CMP-0027,LinkedIn,2024-05-13,39745,1174,71,4721.096815548362,33967.143167256,2.953830670524594,66.49432134575159,7.194756747073967
CMP-0025,Instagram,2024-02-24,16358,750,41,3249.372045757116,11323.704962664011,4.584912581000122,79.25297672578333,3.4848902505485624
CMP-0018,Google Ads,2024-02-13,77401,2656,136,2282.854839974336,27654.171859874412,3.431480213433935,16.785697352752468,12.113854711929605
CMP-0001,Google Ads,2024-08-03,67030,4556,433,2475.7293130578905,153332.12553440922,6.796956586603013,5.7176196606417795,61.93412370475246
CMP-0014,Google Ads,2023-09-09,12406,421,48,2455.255938384534,10498.61317370099,3.393519264871836,51.151165383011126,4.275975066211908
CMP-0030,Instagram,2023-02-14,16640,424,49,2314.0314803601154,7971.2864740163795,2.548076923076923,47.225132252247256,3.4447614657238232
CMP-0048,Google Ads,2024-10-07,37378,984,49,1580.907742795884,23295.136327436834,2.6325646101985125,32.26342332236498,14.735291438473613
CMP-0047,YouTube,2024-03-20,93983,1848,128,982.145461939752,9924.86479282553,1.9663130566166223,7.673011421404312,10.105290079153626
CMP-0042,Facebook,2024-09-20,40282,2451,152,1306.1368134213442,21575.619125602105,6.084603545007695,8.593005351456211,16.518651724612305
CMP-0009,Instagram,2024-09-06,49050,1433,67,1140.6891470007474,27428.153911832236,2.9215086646279307,17.025211149264887,24.045248421929855
CMP-0018,YouTube,2024-07-17,74516,5497,431,2714.001028076764,140048.53587913353,7.376939180847067,6.296986144029615,51.60224127784388
CMP-0045,Instagram,2023-02-26,12023,614,86,4329.375381824089,25778.45400080294,5.10687848290776,50.341574207256855,5.9543125109982356
CMP-0015,Google Ads,2023-08-23,67364,857,20,1607.689438506083,8625.938620462382,1.272192862656612,80.38447192530415,5.365425942262757
CMP-0042,Facebook,2024-06-17,73277,3217,148,3775.2689424941036,52005.316709340106,4.3901906464511375,25.508573935770972,13.775261445343064
CMP-0013,LinkedIn,2024-11-08,15528,1134,52,786.3644927782807,12865.883213978555,7.302936630602782,15.122394091890014,16.361220950506667
CMP-0030,Instagram,2023-06-20,31846,2236,168,3958.8041604199793,35621.36469708536,7.0212899579225025,23.564310478690352,8.9980113321156
CMP-0036,Instagram,2023-06-25,32335,1628,149,4324.028327014741,39129.36779089024,5.034792021029844,29.020324342380814,9.049285719620782
CMP-0034,YouTube,2023-11-29,66920,4981,375,2574.629042975856,50884.55562060496,7.443215780035864,6.865677447935616,19.763839672138015
CMP-0006,LinkedIn,2024-10-04,10707,530,70,1233.1434500952498,25597.218298317857,4.950032688895115,17.61633500136071,20.757697165192493
CMP-0032,Instagram,2024-03-14,94217,4290,382,829.2306096066242,156115.9676513172,4.553318403260558,2.170760758132524,188.26604546758892
CMP-0022,LinkedIn,2023-12-06,11639,847,120,3762.423601153897,51454.05975089834,7.277257496348484,31.353530009615806,13.675775299495227
CMP-0035,Email,2024-12-18,73518,2201,271,1611.8863012013705,74653.00475165625,2.993824641584374,5.947919930632364,46.314063650777285
CMP-0017,LinkedIn,2024-08-24,64075,961,91,2316.0116712295558,9216.77514624295,1.499804916113929,25.450677705819295,3.9795892485074664
CMP-0045,Google Ads,2024-07-12,95409,5772,140,2248.7304993993844,52985.08795984746,6.049743734867779,16.062360709995602,23.56222231788082
CMP-0006,LinkedIn,2023-12-04,48329,954,32,1309.091884734179,6124.439347021215,1.9739700800761448,40.909121397943096,4.678387681140372
CMP-0017,YouTube,2024-03-20,45485,2697,249,2349.3745218481695,59343.358619563725,5.929427283719908,9.435239043566945,25.259216045673472
CMP-0016,LinkedIn,2024-06-09,38495,1043,148,3388.452859781822,42928.249112410245,2.7094427847772438,22.89495175528258,12.668982243174645
CMP-0047,Google Ads,2024-01-01,59034,1251,99,2463.8379410868492,37563.17382419766,2.119117796524037,24.887251930170194,15.245797297702048
CMP-0011,Instagram,2023-12-02,50709,679,51,483.68572225201564,3968.378046495592,1.3390127985170286,9.484033769647365,8.20445562878935
CMP-0029,YouTube,2024-09-15,76838,5039,529,4603.827401973903,185651.10498708626,6.557953096124313,8.702887338324958,40.325383377206514
CMP-0022,Google Ads,2024-03-25,62329,2306,65,2166.1991589845065,8584.091153091349,3.699722440597475,33.32614090745395,3.962743276622584
CMP-0003,LinkedIn,2024-10-19,19804,637,13,3813.0681952331433,1575.3747108783396,3.216521914764694,293.3129380948572,0.4131514649666569
CMP-0019,Email,2024-01-07,55776,3676,225,4993.356614799174,40701.489912820885,6.590648307515777,22.192696065774108,8.151128199454234
CMP-0010,YouTube,2024-10-28,12470,521,43,2779.1837299860176,15117.151643069697,4.1780272654370485,64.63217976711668,5.43942146752052
CMP-0032,LinkedIn,2023-03-29,35570,1776,247,4379.81161978287,20792.54267516053,4.992971605285352,17.732030849323362,4.747360041980829
CMP-0025,Instagram,2023-12-25,67001,4189,486,4315.946285236169,167725.68408324214,6.252145490365815,8.880547912008579,38.86185624158299
CMP-0016,Facebook,2023-07-05,43495,1344,104,226.9651874194289,46088.91245585626,3.0900103460167836,2.1823575713406624,203.0659987105622
CMP-0041,Organic,2024-02-18,66272,5239,312,4731.757215189865,109712.55334953853,7.90529937228392,15.165888510223926,23.18642913405189
