customer_id,plan,status,signup_date,tenure_months,mrr,engagement_score,support_tickets,last_active_date
CUST-00001,Enterprise,Active,2022-02-27,34,997,68.0,12,2024-09-20
CUST-00002,Enterprise,Active,2022-12-03,25,1001,43.0,6,2024-03-08
CUST-00003,Professional,Active,2022-03-18,33,295,43.0,4,2023-04-23
CUST-00004,Starter,Churned,2023-09-05,16,26,2.0,13,2024-11-08
CUST-00005,Starter,Trial,2022-12-03,25,28,3.0,2,2024-11-23
CUST-00006,Enterprise,Active,2023-03-28,21,1001,15.0,2,2024-10-27
CUST-00007,Enterprise,Active,2023-11-25,13,1000,80.0,10,2023-12-11
CUST-00008,Growth,Active,2023-08-17,16,98,53.0,2,2024-02-17
CUST-00009,Growth,Active,2024-01-25,11,100,6.0,11,2024-11-10
CUST-00010,Enterprise,Active,2024-08-22,4,1000,4.0,2,2024-12-11
CUST-00011,Enterprise,Trial,2023-02-12,22,1000,27.0,2,2024-10-30
CUST-00012,Starter,Active,2024-03-31,9,26,32.0,3,2024-05-06
CUST-00013,Professional,Active,2022-04-24,32,303,1.0,14,2023-12-29
CUST-00014,Growth,Active,2022-01-07,36,95,94.0,2,2024-12-19
CUST-00015,Growth,Active,2023-12-15,12,99,64.0,13,2024-01-22
CUST-00016,Growth,Active,2023-10-20,14,102,39.0,4,2024-12-27
CUST-00017,Enterprise,Active,2023-11-28,13,1003,25.0,10,2024-02-24
CUST-00018,Enterprise,Active,2023-01-13,23,1000,22.0,3,2024-04-10
CUST-00019,Professional,Active,2023-10-23,14,298,22.0,0,2024-08-05
CUST-00020,Professional,Active,2024-05-02,8,295,79.0,13,2024-07-02
CUST-00021,Professional,Active,2024-12-21,0,295,3.0,11,2024-12-24
CUST-00022,Professional,Active,2022-01-05,36,297,37.0,2,2024-12-20
CUST-00023,Enterprise,Trial,2023-06-23,18,1000,53.0,14,2024-09-28
CUST-00024,Enterprise,Trial,2022-10-11,27,1000,58.0,0,2024-03-31
CUST-00025,Enterprise,Active,2023-06-16,18,999,57.0,0,2024-01-08
CUST-00026,Growth,Trial,2024-09-07,3,99,76.0,2,2024-12-19
CUST-00027,Enterprise,Active,2022-05-18,31,1003,24.0,12,2023-04-01
CUST-00028,Growth,Active,2024-11-12,1,103,71.0,3,2024-11-26
CUST-00029,Growth,Active,2024-04-14,8,97,93.0,7,2024-12-15
CUST-00030,Professional,Active,2023-06-02,19,299,47.0,6,2024-08-09
CUST-00031,Enterprise,Active,2023-07-20,17,998,97.0,6,2023-07-27
CUST-00032,Professional,Churned,2022-11-21,25,297,13.0,4,2024-08-09
CUST-00033,Starter,Active,2024-09-27,3,28,27.0,1,2024-12-15
CUST-00034,Enterprise,Churned,2023-02-24,22,995,,5,2023-08-28
CUST-00035,Starter,Active,2022-01-07,36,31,63.0,13,2022-08-30
CUST-00036,Starter,Active,2024-08-26,4,29,67.0,2,2024-12-08
CUST-00037,Professional,Active,2024-03-18,9,298,83.0,10,2024-08-23
CUST-00038,Enterprise,Churned,2024-12-05,0,995,16.0,3,2024-12-26
CUST-00039,Professional,Active,2022-06-03,31,297,45.0,8,2024-04-22
CUST-00040,Professional,Active,2023-10-19,14,300,64.0,7,2024-06-02
CUST-00041,Starter,Trial,2023-05-30,19,24,55.0,9,2023-06-28
CUST-00042,Growth,Active,2023-03-06,22,102,12.0,11,2024-04-16
CUST-00043,Starter,Active,2024-01-31,11,28,80.0,5,2024-10-21
CUST-00044,Professional,Churned,2023-01-06,24,296,23.0,7,2023-12-31
CUST-00045,Starter,Trial,2022-08-29,28,29,18.0,9,2023-01-23
CUST-00046,Professional,Churned,2022-02-27,34,303,15.0,13,2022-08-27
CUST-00047,Enterprise,Active,2024-01-27,11,1000,89.0,1,2024-07-30
CUST-00048,Growth,Active,2023-01-31,23,99,73.0,7,2024-06-05
CUST-00049,Starter,Active,2022-05-21,31,33,21.0,9,2022-07-05
CUST-00050,Professional,Active,2023-05-02,20,295,7.0,7,2024-05-09
CUST-00051,Enterprise,Churned,2023-02-19,22,1001,27.0,12,2023-04-20
CUST-00052,Starter,Trial,2023-04-17,20,25,13.0,3,2024-07-11
CUST-00053,Professional,Active,2022-12-26,24,301,68.0,9,2024-04-29
CUST-00054,Starter,Active,2024-09-12,3,30,20.0,13,2024-11-09
CUST-00055,Starter,Active,2022-01-25,35,32,57.0,10,2023-02-10
CUST-00056,Starter,Active,2022-08-12,29,27,80.0,2,2024-10-16
CUST-00057,Growth,Active,2024-08-22,4,97,73.0,6,2024-09-04
CUST-00058,Professional,Active,2023-01-27,23,297,41.0,8,2023-06-06
CUST-00059,Starter,Active,2022-09-27,27,24,73.0,7,2024-10-17
CUST-00060,Professional,Active,2023-02-25,22,296,40.0,3,2024-04-04
CUST-00061,Growth,Trial,2024-03-26,9,95,54.0,1,2024-05-01
